President’s Day Invite,College - Men ,18,2,2023
San Diego,CA,2023-02-18,2023-02-21
https://play.usaultimate.org/events/President’s-Day-Invite/schedule/Men/CollegeMen/
Colorado,1
0,Axel Hartzog
0,Benton Shevlin
0,Dexter Luecke
0,Geoffrey Tucker Kalmus
0,Max Van Sickle
0,Rishi Assar
7,Gaurav Prasad
01,Aylen Learned
03,Atkin Arnstein
04,Blake Musfeldt
05,Calvin Stoughton
08,Daniel Landesman
09,Ryan Shigley
11,Zeke Thoreson
12,Levi Tapper
13,Daniel Williams
17,Nathan Buchholz
18,Carter Halstrom
22,J Calvin Rice-Slothower
23,Benjamin Harris
25,Conor Tabor
34,Ethan Burgess
46,Nanda Min-Fink
47,Seth Wells
49,Andrew Swanson
50,Daniel Bauman
83,Walt Johnson
91,Joseph Michaud
b,r,e,a,k
California-San Diego,12
0,Bradley Zanteson
0,Caleb Robinson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Ethan Wang
0,Ghislain Demeester
0,John Loftus
0,Jonathan McGurrin
0,joseph duran
0,Joshua Creasman
0,Matthew Deckerman
0,Max Gibson
0,Nate Becker
0,Nilesh Mukundan
0,Param Shah
0,Ryan Barry
0,Tyler Kurpanek
0,Tyler May
0,Tynan Sander
0,Sumedh Prasad
11,Trey Scheid
12,Hillel Avital
40,Adam Tran
41,Spencer Rebman
42,Yin Lam Lai
53,Daniel Pryke
76,Andrew Shen
b,r,e,a,k
Oregon State,8
0,Antonio Rueda
0,Ben Thoennes
0,Challis Holloway
0,Felix Moren
0,Forrest Vargyas
0,Jack Weinberg
0,Leo Wolf
0,Lucas Henry
0,Peter Barrette
0,Sam Jordan
0,Seiji Koenigsberg
0,Seth Lockard
0,Myles Deverell
4,Kaenan Combs
13,Callahan Bosworth
13,Ian Shibley-Styer
14,Troy Quinton
15,Cole Eustis
15,Nikolaus Elsaesser
18,Elliott Haberman
18,Finn Lawless
20,Galen Moll
31,Henry Wayte
96,Matt Rix
b,r,e,a,k
Stanford,13
0,Alexander Belfiore
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Josh Walensky
0,Leo Jacoby
0,Mathurin LeDorze
0,Morgan Wyatt
0,Owen Camp
0,Sepehr Asgari
0,Simon Covington
6,Sean Sewell
9,Isandro Malik
10,Charles Shi
12,Charlie Shors
14,Baker Sharp
20,Matan Abrams
22,Aristotle Marangu
26,Max Vandervelden
34,Toby Frager
41,William Hartog
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Cal Poly-SLO,2
0,Alex Yannelli
0,Alex Nelson
0,Bailey Prochaska
0,Carson Crouch
0,Charles Camilli
0,James Whealan
0,Joseph Thachet
0,Kyle Lew
0,Leo Lauritzen
0,Martin  Doherty
0,Max Gade
0,Rafael Castillo
0,Wyatt Colburn
6,Keaton Orser
8,Jamieson Rear
14,Emmet Holton
16,Garrett Bush
17,Sander Fogarty
22,Dodger Middlebrook
25,Anton Orme
30,Seamus Robinson
36,Zach Riley
81,Calvin Brown
88,Alex Herman
b,r,e,a,k
Washington,7
0,Andrei (Andy) Stanciu
0,Elijah Espinola
0,Landon Grassy
0,Vivek Shah
1,Isaac Woldemariam
2,David Zhou
4,Jordan Smith
6,Isaac Tan
7,Alexander Kabat
8,Martin Le
9,Max Ramstad
11,Luke Horris
11,Kevin Tellez
12,Tony Venneri
13,Nicholas Yin
13,Jasper Dean
15,Assaf Golan
16,Ryan Liao
21,Keishin Lam
22,Davis Wright
25,Thomas Axtell
29,Grayson Hoffman
32,Souma Yabuki
33,Leonardo Kruse
34,Akash Shrestha
44,Delano Muongchan
52,Soren Dahl
73,Chackgarin Brown
95,Griffin Lo
b,r,e,a,k
Colorado State,11
0,Charlie Knott
0,Davis Cutforth
0,Davis Lenz
0,Dexter Shafer-White
0,Drew Grant
0,Flynn Nyman
0,Hayden McAdoo
0,Hunter Cunningham
0,Markus Olson
0,Nathaniel Goodwin
0,Nick Phillips
0,Rory Lenny
0,Sam Ruiz Harding
0,Aidan Williams
0,Tucker Martin
0,Wesley Poole
2,Jonathan Steiner
12,Linus Mallett
46,Axel Williams
65,Trevor Isaacson
69,Griffin Geving
b,r,e,a,k
California-Santa Barbara,14
0,Derek Rojas
0,Luke Weaver
3,Max Combs
4,Everett Grass
6,Colin Baylis
7,Cole Bushner
8,Ryan Ridenour
9,Christian Van Stralen
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
13,Ralph Martini
14,Maxwell Fong
15,Michael Demonteverde
15,Leo Ford
23,Grayson Arensdorf
23,Ian Ilgenfritz
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
31,Jackson Hill
32,Isaac Duan
33,Liam Kilbridge
38,Ryan Grossklaus
69,Sam Nosler
77,Charlie Rous
88,Caden Lane
b,r,e,a,k
Oregon,6
0,Jack Gleason
4,Daniel Ritthaler
5,Itay Chang
6,Jackson Knox
8,Adam Wulkan
9,Marcus Beidler
11,Mason  Weybright
12,Keali Mccarter
13,Max Arquilevich
14,Nicholas Cao
15,Chander Boyd-Fliegel
18,Marco Muralles
23,Julian Saunt
24,Mica Glass
28,Max Massey
34,Adam McNichols
45,Beckett Sessums
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
b,r,e,a,k
California-Santa Cruz,3
0,Andrew Grosso
0,Blake Sanchez
0,Devin Acuna
0,Ethan Kleinman
0,Ethan Rogers
0,Gang Xu
0,Kien Warren
0,Liam Jay
0,Milan Moslehi
0,Noah Chang-Linenberg
0,Selim Jones
0,Toby Warren
0,William Snyder
1,Charlie Jia
3,Xaul  Starr
4,Louis Loduha
6,Ryan Liu
9,Dylan Burns
12,Davin Sieu
21,Benjamin Pratt
24,Aaron Mercado
26,Zack Renick
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
71,Aidan Curry
77,Mario Ambrose
b,r,e,a,k
Emory,10
05,Justin Burnett
07,Jason Evans
09,Nolan Baxendell
11,Ki Greene
14,Toby Fuller
15,Daniel Kotelanski
16,Harrison Coorey
18,Sreekar Bommireddy
20,Ammon Longenecker
21,Isaac Gittleman
22,Warren Chang
23,Lucas Kim
24,Austin Chuang
26,Jesse Rider
30,Kaicheng Chen
34,Will Hutchinson
37,Elias Heanue
69,William Dougherty
78,Miguel Urena
81,Joel Lee
89,Jordan Leslie
99,Xavier Stevens
b,r,e,a,k
Grand Canyon,15
0,Carter Hallahan
0,Trevor Gurski
1,Martin Mason
2,Carlos Villegas
3,Brayden Beeman
4,Nikolas  Rivera
8,Elijah Salmon
9,Jake Paulson
11,Shane Davidson
12,Bryan Fuglestad
13,Timothy Coulby
18,Ethan Lee
20,Cael Kubly
22,Nathan Paauw
23,Luke Paulson
29,Everitt Meer
33,Jonah  Rominski
55,Ryan Williams
80,Caleb Yaso
81,Caden Sigerud
92,Caleb  Webster 
b,r,e,a,k
UCLA,5
0,Akhil Nori
0,Alan Ramsey
0,Ben Uribe
0,Brandon Van Deusen
0,Calvin Wicks
0,Cameron Gray
0,Changhe Xie
0,Daniel Lin
0,Jackson Jewett
0,Jacob Snodgress
0,Loic Billaut
0,Matthew Barcellos
0,Meelan Shari
0,Michael Tao
0,Nathaniel Dudley
0,Sam Hirschhorn
0,Varun Patro
0,Zachary Rosen
0,Zack  Hirschhorn
0,Luca Adams
0,Luca Spycher
3,Louis Gosart
13,Bryan  Cloutier
15,Calvin Bird
25,Devon Stuart
25,Marshall Wildmann
47,Riley Kirkman-Davis
56,Ian Tsai
b,r,e,a,k
California,4
0,Aditya  Vunnum
0,Carter Lankford
0,Gavin May
0,Lawson Graham
0,Ridge Huang
1,Renzo Soatto
4,Samuel Laur
5,Robert McCabe
6,Kushal Khangaonkar
8,Drew Palmer
9,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
33,Lucas Intagliata
43,Gabriel Gatewood-Wolfe
69,Camden Mah
97,Eric Johnson
99,Vikram Deepak
b,r,e,a,k
Utah State,9
01,Elijah Huber
04,Bryson McNair
05,Samuel Huntzinger
06,Tucker Jewkes
07,Conrad Anhder
08,Scott Jackson
10,DJ Sorensen
11,Zachary Mulkey
12,Landon Lloyd
15,Weston Zwahlen
16,Boston Musgrave
17,Jackson Egbert
22,Ryan Beck
23,Anthony Mounga
24,Jonny Hoffman
25,Henry Nguyen
26,Easton  Guanuna
29,Nathan Taylor
33,Seth Wilcox
40,Josephus Colver
47,Calvin Clark
55,Ethan Black
77,Logan Thueson
80,Jake Osborne
92,Jaren Newswander
95,Brock Hyatt
b,r,e,a,k
Western Washington,16
0,Arlo Breslauer 
0,Mosey Brown
0,Thomas Simms
4,Ruben Keane
6,Neal Schobbe
8,Isaiah Schneeweis-LaRene
00,Colin Bogar
02,Jerry Chen
03,Brian Fosmark
09,Elijah Diamond
11,Byron Jordan
11,Niko Butt
19,Rafferty O'Neil
24,Jamie Everson
27,Cameron Houghton
30,Jaimen Grove
31,Logan Manta-Kennedy
35,Dylan Singh
42,Peter Eklund
42,Naren Fuller
50,Spencer Land
51,Benjamin Schorsch
58,Rowan Reed
63,Alex Becker
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Colorado,Stanford,14,8,"02/18/2023, 09:00",Pool A
Oregon State,California-San Diego,10,12,"02/18/2023, 09:00",Pool A
Colorado,California-San Diego,15,7,"02/18/2023, 10:30",Pool A
Oregon State,Stanford,10,8,"02/18/2023, 10:30",Pool A
Colorado,Oregon State,12,11,"02/18/2023, 12:00",Pool A
California-San Diego,Stanford,10,8,"02/18/2023, 12:00",Pool A
pool,Pool B
Cal Poly-SLO,Washington,14,12,"02/18/2023, 10:30",Pool B
Colorado State,California-Santa Barbara,11,10,"02/18/2023, 10:30",Pool B
Cal Poly-SLO,Colorado State,12,9,"02/18/2023, 13:30",Pool B
Washington,California-Santa Barbara,12,8,"02/18/2023, 13:30",Pool B
Cal Poly-SLO,California-Santa Barbara,10,5,"02/18/2023, 15:00",Pool B
Washington,Colorado State,13,6,"02/18/2023, 15:00",Pool B
pool,Pool C
California-Santa Cruz,Oregon,9,13,"02/18/2023, 09:00",Pool C
Emory,Grand Canyon,8,9,"02/18/2023, 09:00",Pool C
California-Santa Cruz,Emory,11,12,"02/18/2023, 12:00",Pool C
Oregon,Grand Canyon,14,8,"02/18/2023, 12:00",Pool C
California-Santa Cruz,Grand Canyon,15,4,"02/18/2023, 13:30",Pool C
Oregon,Emory,13,9,"02/18/2023, 13:30",Pool C
pool,Pool D
California,Western Washington,10,4,"02/18/2023, 09:00",Pool D
UCLA,Utah State,12,10,"02/18/2023, 09:00",Pool D
California,Utah State,12,9,"02/18/2023, 10:30",Pool D
UCLA,Western Washington,12,6,"02/18/2023, 10:30",Pool D
California,UCLA,3,10,"02/18/2023, 12:00",Pool D
Utah State,Western Washington,11,8,"02/18/2023, 12:00",Pool D
b,r,e,a,k
pools,Sunday Reshuffled Pool Play
pool,Pool E
Colorado,Washington,13,11,"02/19/2023, 08:00",Pool E
Emory,Western Washington,9,7,"02/19/2023, 08:00",Pool E
Colorado,Emory,13,7,"02/19/2023, 09:30",Pool E
Washington,Western Washington,10,11,"02/19/2023, 09:30",Pool E
Colorado,Western Washington,15,11,"02/19/2023, 11:00",Pool E
Washington,Emory,12,10,"02/19/2023, 11:00",Pool E
pool,Pool F
Cal Poly-SLO,California-Santa Cruz,12,11,"02/19/2023, 08:00",Pool F
Utah State,Stanford,12,9,"02/19/2023, 08:00",Pool F
Cal Poly-SLO,Utah State,10,9,"02/19/2023, 09:30",Pool F
