USA Ultimate National Championships 2021,Club - Women ,21,10,2021
San Diego,CA,2021-10-21,2021-10-24
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2021/schedule/Women/Club-Women/
Fury,1
01,Magon Liu
02,Marisa Mead
03,Sharon Lin
05,Kaela Helton
06,Sarah Griffith
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
11,Carolyn Finney
13,Cree Howard
15,Julia Butterfield
16,Anna Thompson
19,Amel Awadelkarim
20,Bree Cahn
21,Meeri Chang
28,Lisa Couper
29,Kirstin Johnson
33,Anna Nazarov
34,Shayla Harris
39,Anna Reed
44,Maggie Ruden
46,Dena Elimelech
47,Bethany Kaylor
51,Claire Desmond
91,Jessica O'Connor
b,r,e,a,k
Pop,13
00,Alicia Carr
02,Stephanie Wood
03,Makella Daley
04,Mei Hecht
05,Kalli Poletto
07,Abigail Shilts
09,Sara  Helm
11,Rachel Gage
12,Rebecca Enders
16,Rebecca Morales
17,Simone Pierotti
18,Adrienne Baker
19,Isabel Demo
20,Zella Sahar
27,Piper Bain
28,Talia Willmert
39,Elizabeth Curtiss
47,Elly Fireside-Ostergaard
49,Rose Gruenhagen
77,Kristen Schultz
81,Huldah Gronvall
93,Biz Cook
99,Anna Hagstrom
b,r,e,a,k
Rival,12
0,Maggie Rowell
01,Kristol Das
06,Corinn Pruitt
08,Becky Moore
11,Tracey Lo
14,Theresa Zettner
15,Marissa Ray
16,Lilly Mendoza
18,Caitlin Harley
19,Laura Soter
22,Talia Barth
23,Laura  Gerencser
24,Julia Weinert
26,Rachel Dreher
28,Emma Schroder
31,Sara Scott
37,Kari Paine
38,Jennifer Perry
b,r,e,a,k
BENT,8
01,Anna Wysen
03,Renata Pepi
04,Amanda Dobbyn
05,Kyla Dayer
06,Janine Hlavaty
08,Wei Gao
10,Emma March
11,Christie Yeh
12,Lauren Ficek
14,Margo Cody
16,Samiya Ismail
17,Marié Weverka
18,Lisa Kowalski
22,Lauren Woods
24,Julie Xia
25,Iris Malfetano
26,Michelle Landis
28,Cory Salé
33,Akina Younge
41,Kayla Seeger
57,Ximena Montaña 
83,Jessica Whelan
98,Melanie Sawyer
b,r,e,a,k
Molly Brown,2
05,Nhi Nguyen
06,Samantha Peletier
07,Robin Fassett-Carman
08,Manuela Cardenas 
11,Megan Henderson
12,Liz Narmour
13,Alika Johnston
14,Cassandra Swafford
15,Sara Taggart
16,Megan Cousins
17,Melinda Alvey
20,Arielle Nelson
21,Rena Kawabata
26,Lisa Pitcaithley
30,Melissa Devlin
33,Valeria Cardenas
38,Claire McKeever
52,Claire Chastain
55,Rachel Wilmoth
65,Megan Ives
88,Veronica Eder
b,r,e,a,k
Nightlock,11
02,Marisa Rafter
03,Malina Wiebe
04,Claire Leichter
05,Anne Gordon
07,Rio Chuck
08,Donnya Ajdari
10,Angela Aie
11,Iris Leung
12,Alexandra Hasan
13,Mei Bruist
16,Eliza Chang
17,Natasha Won
18,Jessalyn Siu
19,Adrienne Lemberger
21,Montana Roberts
22,Kaitlin Swinnerton
23,Julianne Bozzini
24,Jackelyne Nguyen
27,Kira Lou
28,Nicole Canning
43,Ella Hansen
44,Kara Hammer
52,Annie Ngo
89,Kimberly Long
b,r,e,a,k
Siege,14
01,April Weintraub
02,Chelsea Mower
03,Grace Alston
05,Dorothy DiMascio-Donohue
06,Lauren Piontek
07,Alicia Collins
08,Claire Babbott-Bryan
10,Erin O'Connor
11,Meredith Bernstein
13,Valerie Willocq
14,Charlotte Doran
15,Laura Fradin
16,Rachel Oram-Brown
19,Marina Godley-Fisher
20,Duschia Bodet
22,Melissa Ellis
23,Mary Zhong
28,Diana Swanson
33,Samantha Gray
44,Kennedy McCarthy
64,Tracey Lum
72,Josephine Coppinger
99,Annie Shriver
b,r,e,a,k
Schwa,7
00,Danielle Runzo
01,Morgan Zajonc
05,Kimber Coles
06,Claudia Tajima
07,Elizabeth Longmire
08,Eva Popp
09,Brenna Bailey
10,Caroline Swanson
11,Rachel Egan
13,Yazelis Benitez-Villegas
15,Katie Blise
16,Kristen Rosenblum
17,Morgan Caldwell
18,Julia Sherwood
19,Georgina Tetlow
20,Jaycee Jones
22,Natalie Hancock
24,Aubri Bishop
28,Shannon Dennehy
29,Kyra Khoroujnikova
33,Amy Turner
44,Lyudmila Likhonina
47,Madeleine Franz
51,Kelsey Salvo
55,Emery Otopalik
99,Noelle Takahashi
b,r,e,a,k
Brute Squad,3
00,Alex Ode
03,Laura Ospina Gomez
04,Lien Hoffmann
05,Julianna Werffeli
06,Sarah Judd
07,Kameryn Groom
12,Leija Helling
13,Becky Malinowski
14,Tulsa Douglas
16,Erin Rea
17,Angela Zhu
18,Caroline Tornquist
20,Sophia Knowles
25,Lane Siedor
27,Jessie Grignon Tomas
28,Amy Zhou
29,Caitlyn Lee
31,Sarah Hansen
32,Megan Wilson
33,Yuge Xiao
37,Claire Trop
38,Hannah Henkin
42,Rachel Kramer
71,Cassandra Wong
88,Nastasia Tangherlini
b,r,e,a,k
Tabby Rosa,15
0,Lisa Fitton
03,Lauren Bahng
04,Michelle Floyd
07,Bridget Johnson
08,Shayna Brock
12,Gabrielle  Krajniak
13,Jaylynne Hocutt
14,Sydney Weiner
19,Jenna Dahl
22,Danielle Cordes
23,Sonya (Sunny) Harris
24,Katelyn Travaglini
25,Erin Goding
29,Jackie Fane
31,Harley Peters
45,Christine Lynch
80,Kelsea LeBeau
b,r,e,a,k
Seattle Riot,6
00,Laura Mendomo
01,Jessica Spaulding
02,Emily  Cai
05,Lauren Goddu
07,Calise Cardenas
08,Rachel Bradshaw
10,Shira Stern
11,Melissa Merrick
13,Jessica Crowley
14,Stephanie Phillips
16,Samantha Rodenberg
17,Alexa Yadama
18,Kinsey Miller
20,Kristin (Charlie) Eide
21,Maddy Grassy
23,Claire Dunn
27,Julia Snyder
31,Ikran Elmi
32,Penny Nguyen
36,Alyssa Kelly
66,Crystal (Lok) Koo
81,Lani Nguyen
88,Jean Russell
b,r,e,a,k
Wildfire,10
02,Tonya Shank
03,Emma Frankel
04,Cameron Helm
05,Connie Wang
06,Deanna Abrams
07,Amanda Lobel
10,Christy Jarman
11,Dena Slattery
12,Neha Vaingankar
16,Emma Constantino
18,Grace Engle
19,Amanda Albi
22,Angela Wells
24,Vivi Stevens
26,Teresa Feng
29,Andrea Duran
33,Corey Atkins
37,Hannah Walter
48,Julia Salvacion
51,Lindsay Lang
55,Sara Zhang
88,Mithalee Thakkar
95,Apurwa Shukla
99,Alexandra Stambaugh
b,r,e,a,k
Phoenix,4
01,Lindsay Soo
03,Lyra Olson
04,Ashley Powell
07,Audrey Lyman
08,Mary Rippe
09,Jinny Riedel
10,Ella Juengst
11,Dawn Culton
12,Katie Backus
13,Tyler Smith
14,Lyla Stanland
15,Carmen Tormey
17,Karen Ehrhardt
20,Bridget Mizener
23,Grace Conerly
28,Claire Revere
33,Amanda Murphy
34,Alexandra Barnett
37,Ellie Cubrilovic
42,Rebecca Fagan
44,Keila Strick
48,Maya Powell
83,Zoe Hecht
87,Austin Prucha
88,Clil Phillips
b,r,e,a,k
Traffic,5
00,Terri Whitehead
01,Jessie Tai
05,Naomi Morcilla
07,Camille Alvarez
08,Andrea Moir
09,Jessica Rockliff
10,Kat Pohran
11,Helena Tremblay
12,Daisy Lin
14,Sarah Norton
15,Monica Hsu
17,Paula Wong
19,Oliana Chan
21,Emma Best
22,Katherine Ortega
23,Brianne Wager
24,Julia Zhang
27,Madison Ong
32,Danie Proby
33,Laura Mason
54,Cheryl Andre
69,Karie Holst
78,Stephanie Siu
87,Nicola Parker
90,Catherine Menzies
91,Marie-Ève Beauchemin
b,r,e,a,k
Nemesis,9
00,Eileen Duffner
02,Alexandra Hu
03,Lauren Allen
04,TC Burrows
05,Anna Thorn
06,Risa Umeno
07,Madison Moore
08,Christina Sur
09,Cassandra Brown
10,Emilie Willingham
12,Jennifer Corcoran
13,Anika Thomas-Toth
14,Sarah Helding
17,Ellen Goldberg
18,Sarah Kim
19,Rachel Foster
22,Sammi Wong
23,Caitlyn Tien
24,Anna Stubbs
25,Sara Gnolek
31,Abby Shure
41,Lina  Montenegro 
72,Jacqueline Jarik
77,Katrina McGuire
82,Claire Schmitt
84,Sarah Lipscomb
b,r,e,a,k
Parcha,16
00,Natalie Barnhart
02,Makenzie Priest
03,Domenica Sutherland
04,Erica Baken
06,Celeste Picone
07,Katie Schreiber
09,Annelise Peters
10,Erin McCann
11,Sara Liang
14,Hannah Blizzard
17,Kristin Dudley
18,Susan Devaraj
19,Kayla Emrick
20,Charlotte Koerner
21,Elizabeth Manturuk
22,Molly Moore
24,Morgan Johnson
26,Kelsey Cowles
28,Madison Pisone
31,Sharon Yee
32,Shani Rosenthal
36,Carolyn Normile
37,Sarah Lemanski
71,Linn Bjanes
99,Emily Kiver
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Fury,Rival,15,4,"10/21/2021, 09:00",Pool A,Final
BENT,Pop,13,14,"10/21/2021, 09:00",Pool A,Final
Fury,Pop,15,2,"10/21/2021, 11:15",Pool A,Final
BENT,Rival,11,14,"10/21/2021, 11:15",Pool A,Final
Fury,BENT,15,2,"10/21/2021, 13:30",Pool A,Final
Rival,Pop,11,13,"10/21/2021, 13:30",Pool A,Final
pool,Pool B
Molly Brown,Nightlock,15,6,"10/21/2021, 11:15",Pool B,Final
Schwa,Siege,10,15,"10/21/2021, 11:15",Pool B,Final
Molly Brown,Siege,15,5,"10/21/2021, 13:30",Pool B,Final
Schwa,Nightlock,10,13,"10/21/2021, 13:30",Pool B,Final
Molly Brown,Schwa,13,11,"10/21/2021, 15:45",Pool B,Final
Nightlock,Siege,15,6,"10/21/2021, 15:45",Pool B,Final
pool,Pool C
Brute Squad,Wildfire,15,4,"10/21/2021, 09:00",Pool C,Final
Seattle Riot,Tabby Rosa,10,14,"10/21/2021, 09:00",Pool C,Final
Brute Squad,Tabby Rosa,15,5,"10/21/2021, 13:30",Pool C,Final
Seattle Riot,Wildfire,15,4,"10/21/2021, 13:30",Pool C,Final
Brute Squad,Seattle Riot,15,9,"10/21/2021, 15:45",Pool C,Final
Wildfire,Tabby Rosa,5,15,"10/21/2021, 15:45",Pool C,Final
pool,Pool D
Phoenix,Nemesis,15,8,"10/21/2021, 09:00",Pool D,Final
Traffic,Parcha,15,13,"10/21/2021, 09:00",Pool D,Final
Phoenix,Parcha,14,7,"10/21/2021, 11:15",Pool D,Final
Traffic,Nemesis,15,9,"10/21/2021, 11:15",Pool D,Final
Phoenix,Traffic,12,11,"10/21/2021, 15:45",Pool D,Final
Nemesis,Parcha,12,7,"10/21/2021, 15:45",Pool D,Final
b,r,e,a,k
clusters,4th Place Finishers Crossover Games
cluster,4th Place Finishers Crossover Games
BENT,Parcha,6,12,"10/22/2021, 09:00",,Final
Schwa,Wildfire,12,9,"10/22/2021, 09:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Fury,Brute Squad,15,9,"10/24/2021, 15:00",Finals,Final
Fury,Phoenix,13,12,"10/23/2021, 17:30",Semifinals,Final
Brute Squad,Molly Brown,15,9,"10/23/2021, 20:00",Semifinals,Final
Fury,Seattle Riot,15,6,"10/22/2021, 11:30",Quarterfinals,Final
Tabby Rosa,Phoenix,7,15,"10/22/2021, 11:30",Quarterfinals,Final
Brute Squad,Traffic,15,7,"10/22/2021, 14:00",Quarterfinals,Final
Nemesis,Molly Brown,5,15,"10/22/2021, 14:00",Quarterfinals,Final
Nightlock,Seattle Riot,12,15,"10/22/2021, 09:00",Pre-Quarters,Final
Siege,Tabby Rosa,10,15,"10/22/2021, 09:00",Pre-Quarters,Final
Traffic,Rival,15,10,"10/22/2021, 09:00",Pre-Quarters,Final
Nemesis,Pop,15,8,"10/22/2021, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Phoenix,Molly Brown,14,13,"10/24/2021, 10:00",3rd Place,Final
bracket,5th Place
Seattle Riot,Traffic,9,15,"10/23/2021, 09:00",5th Place,Final
Seattle Riot,Tabby Rosa,14,11,"10/22/2021, 14:00",5th Semis,Final
Traffic,Nemesis,14,10,"10/22/2021, 16:15",5th Semis,Final
bracket,7th Place
Schwa,Nemesis,11,13,"10/23/2021, 11:15",7th Place,Final
Tabby Rosa,Schwa,6,15,"10/23/2021, 09:00",7th Semis,Final
Parcha,Nemesis,10,13,"10/23/2021, 09:00",7th Semis,Final
Nightlock,Schwa,12,14,"10/22/2021, 16:15",7th Pre-Semis,Final
Parcha,Pop,14,9,"10/22/2021, 16:15",7th Pre-Semis,Final
Nightlock,BENT,14,7,"10/22/2021, 11:30",7th Place Play-in,Final
Rival,Schwa,11,12,"10/22/2021, 11:30",7th Place Play-in,Final
Siege,Parcha,9,13,"10/22/2021, 11:30",7th Place Play-in,Final
Pop,Wildfire,13,11,"10/22/2021, 11:30",7th Place Play-in,Final
bracket,9th Place
Tabby Rosa,Parcha,7,6,"10/23/2021, 11:15",9th Place,Final
bracket,11th Place
Nightlock,Pop,15,8,"10/23/2021, 09:00",11th Place,Final
bracket,13th Place
Rival,Siege,13,9,"10/23/2021, 09:00",13th Place,Final
BENT,Rival,7,15,"10/22/2021, 14:00",13th Semis,Final
Siege,Wildfire,15,6,"10/22/2021, 14:00",13th Semis,Final
bracket,15th Place
BENT,Wildfire,8,12,"10/23/2021, 11:15",15th Place,Final
b,r,e,a,k
