USA Ultimate National Championships 2021,Club - Men ,21,10,2021
San Diego,CA,2021-10-21,2021-10-24
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2021/schedule/Men/Club-Men/
Sockeye,1
00,Jacob Janin
02,Brice Dixon
03,Thomas  Kulczak
05,Nathan Kwon
06,Phil Murray
07,Julian Childs-Walker
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
12,Garrett Martin
15,Assaf Golan
16,Trent Dillon
18,Chackgarin Brown
19,Stanley Birdsong
22,Declan Miller
23,Xander Cuizon Tice
24,Tony Venneri
25,Nick Stuart
27,Dylan Freechild
30,Matthew Russell
31,Matthew Rehder
59,Noah Coolman
70,Julian Hausman
74,Mac Hecht
77,Ben Snell
89,Milan Ravenell
b,r,e,a,k
Rhino Slam!,8
00,Theodore Sither
03,Daniel Young
04,Wyatt Paul
05,Felix Moren
06,David Barram
07,Eli Friedman
09,Christopher Strub
17,Raphael Hayes
21,Spencer Latarski
22,Aaron Adamson
24,Nicholas Jackson
26,Austin Kelly
27,Trevor Smith
28,Kyle Hancock
29,David Sealand
30,Sam Franer
34,Adam McNichols
36,Gabriel Nobis
40,Vinh Bui
41,Daniel Lee
44,Owen Murphy
47,Benjamin Liu-May
50,Patrick  Beckett 
62,Quinn Buermeyer
77,Ian Sweeney
82,Leandro Marx
b,r,e,a,k
Lotus,13
00,Alex Atkins
01,Aylen Learned
02,Alex Tatum
03,Atkin Arnstein
04,Michael Lun
06,Matt Bristol
07,Seth Wells
08,Daniel Landesman
10,Saeed Semrin
11,Calvin Stoughton
17,Nathan Buchholz
18,Zane Barber
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
28,Levi Tapper
32,Kevin Johnson
62,Cole Besser
62,Walt Johnson
65,Joel Ives
77,Benjamin Harris
b,r,e,a,k
Pittsburgh Temper,12
02,Jonathan Mast
03,Patrick Earles
04,Casey Mann
05,Saul Graves
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
09,Patrick McMullen
10,Max Thorne
13,CJ Colicchio
14,Kenny Furdella
15,Dylan Best
18,Jed Farber
19,Ari Weitzman
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
32,Nasser Mbae Vogel
45,Brett Matzuka
46,Tristan Yarter
48,Jimmy Towle
49,Sam VanDusen
61,Brandon Matis
81,Kevin Quinlan
84,Brian Schoenrock
b,r,e,a,k
Truck Stop,7
02,Zachary Norrbom
03,Kees Humes
03,Jeremy Hess
05,David Cranston
06,Kevin Versteeg
07,Bradley Scott
08,Troy Holland
09,Kenta Kawaguchi
10,Tyler Monroe
11,Luke Rehfuss
15,Nathan Castine
17,Moussa Dia
21,Codi Wood
24,Jacques Nissen
25,Marcus Thaw
29,Christian Johnson
30,Christian Boxley
34,Colin McLaughlin
36,Matthew Rowan McDonnell
42,Adam Norrbom
43,Nathan Prior
45,Jeff Wodatch
52,Raymond Mendoza
72,Dylan Salzman
88,Duncan Fitzgerald
99,Joseph Richards
b,r,e,a,k
SoCal Condors,11
00,Jonathan Helton
01,Michael Kiyoi
03,Michael Tran
04,Scott Radlauer
05,Bryce Lozinski
08,Brandon Severson
09,Maxwell Hume
10,Sean McDougall
11,Elliot Warner
12,Mitchell Steiner
13,Mark Leggio
14,William Turner
17,Steven Milardovich
18,Kyle Rubin
19,Jeff Silverman
20,Matt Miller
22,Paul Lally
23,Jordan Queckboerner
24,Daniel Mah
27,Kenrick Koo
30,Seamus Robinson
42,Marcel Osborne
66,Garrett Santi
80,Travis Dunn
81,Calvin Brown
88,Samuel Fontaine
b,r,e,a,k
Chicago Machine,2
00,Eli Artemakis
02,Joey Kennedy
03,Dalton Smith
04,Patrick Shriwise
05,Johnny Bansfield
06,Nico Lake
09,Jeffrey Weis
10,Von Alanguilan
11,Nathan Goff
12,Tim Schoch
13,Alex Evangelides
14,Victor Luo
16,Yiding Hou
17,Keegan North
19,Paul Arters
25,Ross Barker
26,Peter Graffy
30,Jack Shanahan
31,Walden Nelson
32,Sam Kanner
33,Kyle Rutledge
55,Pawel Janas
80,Kevin Pettit-Scantling
91,Joe White
92,Raymond Lu
94,Jason  Vallee
b,r,e,a,k
DiG,14
01,Luke Webb
03,Gabriel Colton
05,Noah Backer
06,Cole Moore
07,Jason (Jay) Clark
08,Nick Patel
09,Solomon Rueschemeyer-Bailey
10,Tyler Chan
11,Ryan Dinger
13,Brendan McCann
16,Turner Allen
19,Jac Carreiro
22,Cole Davis-Brand
23,William Stewart
25,Ilya Yudkovich
26,Nathaniel Dick
27,Orion Cable
28,Ethan Fortin
31,Ben Krupp
32,Gus Norrbom
34,Gustav Haflin
48,Ben Horrisberger
55,Henry Babcock
65,Topher Davis
99,Josh Markette
b,r,e,a,k
Ring of Fire,3
01,Justin Allen
02,Seth Weaver
04,Suraj Madiraju
05,Ben Dameron
07,Jonathan Nethercutt
08,Terrence Mitchell
10,Henry Fisher
11,Ryan Osgar
12,Liam Searles-Bohs
14,Dillon Lanier
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
26,Allan Laviolette
28,Jack Williams
30,Andrew McKelvey
43,Marcus Rovner
50,Matthew McKnight
52,Connor Russell
76,Trevor Lynch
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Revolver,6
00,Nick Tolfa
04,Kevin Tien
05,Danny Miesen
06,Simon Higgins
08,Dillon Whited
09,Andrew Moore
12,Jacob Smith
14,Kenneth Lim
15,Michael Spear
17,Sawyer Thompson
19,Evan Magsig
20,Sean Liston
21,Caleb Merriam
22,Marcelo Sanchez-Heredia
23,Jake Thorne
24,Elijah Kerns
25,Marshall Wildmann
32,Jordan Marcy
47,Riley Kirkman-Davis
