USA Ultimate National Championships 2021,Club - Mixed ,21,10,2021
San Diego,CA,2021-10-21,2021-10-24
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2021/schedule/Mixed/Club-Mixed
NOISE,12
00,Donna Johnston
01,Francis Kelley
02,Ashley Welsh
03,Kelsen Alexander
06,Amelia Cuarenta
07,Vanessa Cannaday
09,Clea Poklemba
10,Tom Annen
11,Kimberly Reynolds
16,Margaret Walker
19,Emily Cohen
22,Rami Paust
24,James Sykora
31,Tyler Williams
32,Daniel Garlock
33,Katy Stanton
34,Ben Parrell
43,Kevin Cannaday
49,Robyn Fennig
51,Matthew Grinde
54,Dylan DeClerck
55,Ethan Parrish
77,Jack Kelly
95,Glenn Poole
99,Caitlin Murphy
b,r,e,a,k
Slow,8
00,Ryan Cardinal
02,Dory Ziperstein
03,Jon Cox
04,Ryan Woodhouse
05,Kirsten Lundquist
06,Chloe Rowse
08,Peter Prial
10,Ryan Turner
12,Christopher Waite
13,Langston Lee
14,Hannah Baranes
15,Caitlin Fitzgerald
17,Caroline Collis
19,Olivia Hampton
20,David Friedman
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
32,Emilia Scheemaker
33,Scott Gatto
46,Amy Stoddard
55,Hunter Lang
64,Davis Whitehead
80,Jacob Taylor
88,Gigi Downey
89,Emma Palacio
b,r,e,a,k
shame.,1
00,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
05,Danielle Love
06,Ashley Daly Morgan
09,Kiera Lindgren
11,Nicholas Lance
14,Jade McLaughlin
15,Spencer Tibbs
18,Crystal Davis
19,Lorraine Guerin
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
24,Ethan Peck
25,Marilyn Reich
26,Owen Westbrook
27,Chris Gauen
30,Bart Watson
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
52,Nicholas Snuszka
88,Kasey Anderson
91,Jon Snyder
97,Sarah Pesch
b,r,e,a,k
Lochsa,13
00,Vespera Aragon
01,Jeffrey Brandle
02,Nathan Huff
03,James Dahl
04,Nathaniel Dryden
05,Trenton Pearsall
06,Oliver Atkinson
09,Rich Brown
10,Kate Corr
12,Kendra  Mitchell
14,Scott Kaltenecker
19,Hannah Bruns
21,Kelsey Breen
22,Ryan Van Hook
24,Sarah Staller
27,Shannon Montaño
28,Daniel White
36,Kevin Farrell
37,Daniel Kwok
38,Cori Bigham
40,Drew Lysne
43,Jacob Miller
44,Abbie Abramovich
47,Juliana Williams
58,Paige Kercher
88,Joe Dawson
b,r,e,a,k
BFG,2
2,Kimberly Schlesinger
7,Kerry Chang
8,Jennifer Ricaurte
03,Mario O'Brien
05,Reid Koss
11,Austin Barden
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
17,Thomas Li
18,Conor Belfield
20,Alexa Kirkland
23,Linnea Soo
24,Jason Yun
24,Cheryl Hsu
25,Tommy Lin
26,Andi Coleman
27,Jeffrey Pape
28,Leah Bar-On Simmons
30,Sarah Benditt
32,Alissa Soo
33,AnnaMaria Pape
44,Stephen Gussin
66,Sam Pickel
81,Charlie Mercer
88,Linh Hoang
b,r,e,a,k
Love Tractor,14
00,Kristen Reed
02,Jessica Shatkin
03,Maggie Chen
04,David Protter
05,Jack (John) McShane
08,Julia Longinotti
09,Justin Van Sant
09,James Cantwell
12,Joe Babbino
15,Dorothe Franklin
16,Hilary Walker
19,Garrett Moulder
21,David Kamin
22,Jesse Roehm
23,Britta Bergstrom
24,Hilary Egan
27,Steve Schwab
29,Matt Gleason
30,Jenna Hunt
33,Eric Hubbard
34,Henry Konker
83,Zachary Nager
84,Hallie Dunham
88,Wil St. Charles
b,r,e,a,k
Lawless,7
02,Andrew Kohl
03,Seam Ham
04,Benjamin Lacy
05,Dakota Lippincott
07,Cynthia Thomas
08,Shelby Petty
09,Joshua Kohl
10,Carl Morgenstern
11,Melissa Dunn
12,Christopher Bernard
14,John Patinella
15,Megan Maxfield
18,Jamie Eriksson
19,Zac Petty
20,Ryan Irvin
22,Lindsey Doyle
24,Nathan Bridges
27,Marshall Crawford
30,Merideth Byl
36,Ryan Lacy
44,Jordan Harn
46,Helen Eifert
49,Jake Hadziev
51,Kay Powell
81,Caden Sigerud
86,Mark Mendelevitz
b,r,e,a,k
'Shine,11
62,Mariana Rodríguez
68,James Wright
69,Margaret Quinn
70,Nicholas Farren
71,Eli Motycka
72,Grace Castro
73,Jack (John) Spiva
74,Avi Ghitterman
75,Elizabeth Barnes
77,Mikeie Reiland
78,Grace Robinson
80,Meaghan  Creamer
82,Mary Turner
84,Chris Peek
85,Aaron Wilder
86,Noel Holmes
88,Phillip Dougherty
89,Philip Throckmorton
90,Jesse Shofner
91,Jin-Mi Matsunaga
92,Tori Taylor
93,Adam Carr
95,Trip Adams
98,Matt Ractliffe
99,Christopher Calhoun
b,r,e,a,k
Seattle Mixtape,3
00,Marc Anthony Munoz
01,Kelly Johnson
03,Cam Bailey
04,Kat Songer
07,Frances Gellert
08,Kahyee Fong
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Abby Hecko
13,Stephanie Lim
16,Zach Sabin
17,Aimie Kawai
19,Alexa Romersa
21,Jesse Bolton
23,William Katz
24,Henry Phan
27,Dominic Cavalero
32,Emily Smith-Wilson
48,Tori Gray
60,Bradley Houser
69,Michael Brisbois
71,Arianne Lozano
86,Manuel Eckert
90,Qxhna Titcomb
99,Khalif El-Salaam
b,r,e,a,k
Space Heater,6
01,Ashleigh Buch
02,Benjamin Preiss
03,Nikki Ross
04,Jackson Cochran
05,Dane Warner
06,Amber Sinicrope
07,David Boylan-Kolchin
08,Kelly Hyland
09,Kyle Khalifa
10,Jenny Fey
11,Nada Tramonte
13,Kathleen Ratcliff
16,AJ Merriman
19,Verena Woloson
22,Theresa Hackett
23,Gabriel Webster
24,Kelly Ross
32,Anthony McLean
33,Austin Bartenstein
37,Sandra Jorgensen
42,Lisi Lohre
43,Joe Freund
53,Jonny Malks
55,Molly Roy
77,Peter MacArthur
99,Alan Kolick
b,r,e,a,k
Sprocket,10
01,Anthony Goss
04,Zachary  Hahn-Du Pont
07,Ivan Tran
08,Lily Huang
09,Ryan Flamberg
10,Clara Stewart
11,Rosanna Vitiello
14,Rocco Essex-Linehan
15,Tannor Johnson
16,Ian Hanson
18,Hazel Ostrowski
20,Kayla Huddell
21,Patrick Barron
22,Olivia Goss
23,Jodi Robert
24,Tomaso Mukai
27,Colette Pellegrini
30,Jean Huang
43,Clara Walsh
46,Brett Tan
50,Aaron Rosenthal
51,Tess Johnson
60,Caitlin Go
69,Tahlia Quartin
91,Nolan Scheemaker
99,Michael Shriver
b,r,e,a,k
Polar Bears,15
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
06,Qingyun Lu
07,Charles Cao
08,James Pollard
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Keaton Viadro
16,Vincenzo Vitiello
17,Margot Stert
19,Jason Shnipes
22,Andrew Ouyang
23,Ryan Messersmith
24,Allyson Tsuji
25,Jonah Malenfant
33,Molly Hallweaver
36,Sara Nolan
37,Paige Applegate
42,Matt Jaffe
52,Samantha Applegate
73,Kristen Pojunis
84,Shane Earley
b,r,e,a,k
Hybrid,9
01,Michael Mansfield
02,Justin Perticone
03,Sara Nitz
06,Nora Mertz
07,Elizabeth Benedetto
08,Dan Donovan
09,Anna McClurkan
10,Brittany Wright
11,Bridget Connor
13,David Yu
15,Jake Steslicki
16,Riely Kuznicki
17,Connor Lukas
19,Alexander Pan
20,Madalyn Simko
22,Michael Dagher-Margosian
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
35,Joseph Besser
42,Nathan Champoux
66,Mya Hernandez
73,Maya Grumeretz
76,Adam Stautberg
88,Mark Whitton
b,r,e,a,k
Drag'n Thrust,4
00,Bret Bergmeier
02,Brett Sullivan
03,Patrick Niles
04,Bryan Vohnoutka
05,Ellie Sjordal 
06,Logan Weiss
07,Danielle Byers
08,Matt Zumbrum
11,Michelle McGhee
12,Marty Adams
13,Jacob Lien
14,Megan Pera
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
21,Sarah Mondschein
22,Kathryn Ritzmann
30,Jane Koch
33,Jaime Glader
44,Sarah Meckstroth
47,Nariah-Belle Sims
49,Caleb Denecour
55,Charlie Schuweiler
72,Meg Lake
88,Billy Armstrong
91,Sadie Reding
b,r,e,a,k
AMP,5
00,Ethan Holmgren
01,Robert Roos
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,CeCe Collinson
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Jordan Rhyne
12,Malti McKinnon
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
33,Calvin Trisolini
36,Nick Spiva
42,Adam Grossberg
44,Max Charles
55,Michael Campanella
58,Simon Covington
70,Jake Butrica
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
XIST,16
00,Natalia De Jesus
01,Robert Smith
02,Karen Chalif
03,Abagael Cheng
04,Caroline Turner
05,Valerie Hsieh
06,Ryan Drost
07,Luisa Maria Neves
08,Michael Drost
10,Tricia Smit
11,Tim Kominos
12,Matthew Lemar
13,Brian Kibler
15,Matthew Baum
17,Oliver Chartock
18,Caitlyn Hauswirth
19,Eliot Bemis
33,Brian Varis
36,Matt Wiener
37,Joanna Chen
45,Colton Doering
48,Adam Stern
52,Sarah Kay Dela Cruz
77,Emily Prader
80,Hannah Garfield
88,Nicole Hair
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
shame.,NOISE,13,15,"10/21/2021, 09:00",Pool A,Final
Slow,Lochsa,14,13,"10/21/2021, 09:00",Pool A,Final
shame.,Lochsa,15,7,"10/21/2021, 11:15",Pool A,Final
Slow,NOISE,11,13,"10/21/2021, 11:15",Pool A,Final
shame.,Slow,12,15,"10/21/2021, 13:30",Pool A,Final
NOISE,Lochsa,14,12,"10/21/2021, 13:30",Pool A,Final
pool,Pool B
BFG,'Shine,15,7,"10/21/2021, 11:15",Pool B,Final
Lawless,Love Tractor,12,14,"10/21/2021, 11:15",Pool B,Final
BFG,Love Tractor,13,8,"10/21/2021, 13:30",Pool B,Final
Lawless,'Shine,14,13,"10/21/2021, 13:30",Pool B,Final
BFG,Lawless,15,9,"10/21/2021, 15:45",Pool B,Final
'Shine,Love Tractor,12,13,"10/21/2021, 15:45",Pool B,Final
pool,Pool C
Seattle Mixtape,Sprocket,15,10,"10/21/2021, 09:00",Pool C,Final
Space Heater,Polar Bears,15,10,"10/21/2021, 09:00",Pool C,Final
Seattle Mixtape,Polar Bears,13,11,"10/21/2021, 13:30",Pool C,Final
Space Heater,Sprocket,15,7,"10/21/2021, 13:30",Pool C,Final
Seattle Mixtape,Space Heater,15,12,"10/21/2021, 15:45",Pool C,Final
Sprocket,Polar Bears,13,9,"10/21/2021, 15:45",Pool C,Final
pool,Pool D
Drag'n Thrust,Hybrid,11,14,"10/21/2021, 09:00",Pool D,Final
AMP,XIST,15,8,"10/21/2021, 09:00",Pool D,Final
Drag'n Thrust,XIST,10,7,"10/21/2021, 11:15",Pool D,Final
AMP,Hybrid,13,11,"10/21/2021, 11:15",Pool D,Final
Drag'n Thrust,AMP,12,8,"10/21/2021, 15:45",Pool D,Final
Hybrid,XIST,14,13,"10/21/2021, 15:45",Pool D,Final
b,r,e,a,k
clusters,4th Place Finishers Crossover Games
cluster,4th Place Finishers Crossover Games
Lochsa,XIST,11,8,"10/22/2021, 09:00",,Final
'Shine,Polar Bears,14,11,"10/22/2021, 09:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Hybrid,BFG,10,14,"10/24/2021, 12:30",Finals,Final
NOISE,Hybrid,12,14,"10/23/2021, 14:30",Semifinals,Final
Seattle Mixtape,BFG,11,12,"10/23/2021, 10:00",Semifinals,Final
NOISE,Sprocket,15,11,"10/22/2021, 11:30",Quarters,Final
Lawless,Hybrid,9,10,"10/22/2021, 11:30",Quarters,Final
Seattle Mixtape,Drag'n Thrust,15,10,"10/22/2021, 14:00",Quarters,Final
AMP,BFG,9,15,"10/22/2021, 14:00",Quarters,Final
Love Tractor,Sprocket,10,14,"10/22/2021, 09:00",Pre-Quarters,Final
Lawless,Space Heater,15,10,"10/22/2021, 09:00",Pre-Quarters,Final
Drag'n Thrust,shame.,14,13,"10/22/2021, 09:00",Pre-Quarters,Final
AMP,Slow,12,10,"10/22/2021, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
NOISE,Seattle Mixtape,10,14,"10/24/2021, 10:00",3rd Place,Final
bracket,5th Place
Sprocket,Drag'n Thrust,8,13,"10/23/2021, 09:00",5th Place,Final
Sprocket,Lawless,14,11,"10/22/2021, 14:00",5th Semifinals,Final
Drag'n Thrust,AMP,13,9,"10/22/2021, 16:15",5th Semifinals,Final
bracket,7th Place
Love Tractor,AMP,8,11,"10/23/2021, 11:15",7th Place,Final
Lawless,Love Tractor,12,13,"10/23/2021, 09:00",7th Semifinals,Final
Slow,AMP,11,13,"10/23/2021, 09:00",7th Semifinals,Final
Love Tractor,'Shine,13,10,"10/22/2021, 16:15",7th Pre-Semis,Final
Lochsa,Slow,8,9,"10/22/2021, 16:15",7th Pre-Semis,Final
Love Tractor,XIST,15,9,"10/22/2021, 11:30",7th Place Play-in,Final
shame.,'Shine,12,13,"10/22/2021, 11:30",7th Place Play-in,Final
Space Heater,Lochsa,12,13,"10/22/2021, 11:30",7th Place Play-in,Final
Slow,Polar Bears,15,7,"10/22/2021, 11:30",7th Place Play-in,Final
bracket,9th Place
Lawless,Slow,10,13,"10/23/2021, 11:15",9th Place,Final
bracket,11th Place
'Shine,Lochsa,10,15,"10/23/2021, 09:00",11th Place,Final
bracket,13th Place
Polar Bears,shame.,16,14,"10/23/2021, 09:00",13th Place,Final
XIST,Polar Bears,8,14,"10/22/2021, 14:00",13th Semifinals,Final
Space Heater,shame.,13,14,"10/22/2021, 14:00",13th Semifinals,Final
bracket,15th Place
XIST,Space Heater,7,15,"10/23/2021, 11:15",15th Place,Final
b,r,e,a,k
