2021 USA Ultimate Masters Championships,Masters - Men ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Voltron2020,1
28,Andrew Curry
44,Timothy Hoarty
b,r,e,a,k
Geronimo,11
teamInfo,,"Deep in the Heart of, Texas",,,
02,Daniel Thai
04,Andy Chapman
06,Tom Ferguson
07,Brian Schroeder
08,Johnny Chang
09,Joseph (Joe) Stokes
10,Bryan Heersema
13,Keith Larsen
16,Ryan Opgenorth
17,Michael Berman
20,Javier Oliver
21,Brian Mente
23,Patrick Christmas
25,Shane Lu
29,Tyson Hart
30,David Brindley
34,Brandon Wilson
45,Daniel Tipton
47,Nicholas Molnar
50,Eric Wilkins
60,Louis Fausak
75,Kyle Boudreau
80,Christopher Griego
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
The Bayou Boys,Urnmen,8,11,"07/16/2021, 08:30",Pool A,Final
Voltron2020,Urnmen,13,6,"07/16/2021, 10:30",Pool A,Final
Voltron2020,The Bayou Boys,15,5,"07/16/2021, 12:30",Pool A,Final
pool,Pool B
Pacemaker,Jalopy,15,4,"07/16/2021, 08:30",Pool B,Final
Boneyard,Jalopy,15,7,"07/16/2021, 10:30",Pool B,Final
Boneyard,Pacemaker,15,4,"07/16/2021, 12:30",Pool B,Final
pool,Pool C
King Louie,Wolfhounds,15,5,"07/16/2021, 08:30",Pool C,Final
Johnny Encore,Wolfhounds,15,1,"07/16/2021, 10:30",Pool C,Final
Johnny Encore,King Louie,15,10,"07/16/2021, 12:30",Pool C,Final
pool,Pool D
"JOIN, or DIE.",Danger Mouse,14,7,"07/16/2021, 08:30",Pool D,Final
All Bashed Out,Danger Mouse,15,1,"07/16/2021, 10:30",Pool D,Final
All Bashed Out,"JOIN, or DIE.",13,9,"07/16/2021, 12:30",Pool D,Final
pool,Pool E
Naptown,Colorado Springs High Mileage,12,9,"07/16/2021, 08:30",Pool E,Final
Surly,Colorado Springs High Mileage,14,9,"07/16/2021, 10:30",Pool E,Final
Surly,Naptown,12,11,"07/16/2021, 12:30",Pool E,Final
pool,Pool F
Viejo,Minimum Effort,15,4,"07/16/2021, 08:30",Pool F,Final
Beyondors,Woolly Mammoth,8,15,"07/16/2021, 08:30",Pool F,Final
Viejo,Woolly Mammoth,15,11,"07/16/2021, 10:30",Pool F,Final
Beyondors,Minimum Effort,15,2,"07/16/2021, 10:30",Pool F,Final
Viejo,Beyondors,15,11,"07/16/2021, 12:30",Pool F,Final
Woolly Mammoth,Minimum Effort,15,4,"07/16/2021, 12:30",Pool F,Final
pool,Pool G
Rest Stop,Wasted Talent,12,14,"07/16/2021, 08:30",Pool G,Final
Royal Stag,Geronimo,15,8,"07/16/2021, 08:30",Pool G,Final
Rest Stop,Geronimo,13,11,"07/16/2021, 10:30",Pool G,Final
Royal Stag,Wasted Talent,15,6,"07/16/2021, 10:30",Pool G,Final
Rest Stop,Royal Stag,14,12,"07/16/2021, 12:30",Pool G,Final
Geronimo,Wasted Talent,9,15,"07/16/2021, 12:30",Pool G,Final
b,r,e,a,k
clusters,Crossover Play
cluster,Crossover Play
Urnmen,Danger Mouse,13,7,"07/16/2021, 14:30",,Final
Pacemaker,Wolfhounds,14,5,"07/16/2021, 14:30",,Final
King Louie,Jalopy,12,7,"07/16/2021, 14:30",,Final
"JOIN, or DIE.",Colorado Springs High Mileage,14,11,"07/16/2021, 14:30",,Final
Naptown,The Bayou Boys,12,11,"07/16/2021, 14:30",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Voltron2020,Johnny Encore,11,10,"07/18/2021, 11:30",Finals,Final
Voltron2020,Pacemaker,15,4,"07/17/2021, 14:30",Semifinals,Final
Johnny Encore,Boneyard,12,11,"07/17/2021, 14:30",Semifinals,Final
Voltron2020,Woolly Mammoth,14,8,"07/17/2021, 10:30",Quarterfinals,Final
King Louie,Pacemaker,4,15,"07/17/2021, 10:30",Quarterfinals,Final
Johnny Encore,Viejo,14,10,"07/17/2021, 10:30",Quarterfinals,Final
Royal Stag,Boneyard,5,15,"07/17/2021, 10:30",Quarterfinals,Final
Voltron2020,"JOIN, or DIE.",15,3,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Rest Stop,Woolly Mammoth,9,15,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Surly,King Louie,11,13,"07/17/2021, 08:30",Pre-Quarterfinals,Final
All Bashed Out,Pacemaker,9,13,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Johnny Encore,Naptown,15,6,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Viejo,Wasted Talent,14,12,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Royal Stag,Beyondors,15,8,"07/17/2021, 08:30",Pre-Quarterfinals,Final
Boneyard,Urnmen,15,5,"07/17/2021, 08:30",Pre-Quarterfinals,Final
bracket,3rd Place
Pacemaker,Boneyard,8,15,"07/18/2021, 09:00",3rd Place,Final
bracket,5th Place Bracket
Woolly Mammoth,Viejo,10,15,"07/18/2021, 09:00",5th Place Finals,Final
Woolly Mammoth,King Louie,15,9,"07/17/2021, 14:30",5th Place Semifinals,Final
Viejo,Royal Stag,13,10,"07/17/2021, 14:30",5th Place Semifinals,Final
bracket,7th Place
King Louie,Royal Stag,7,15,"07/17/2021, 09:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
"JOIN, or DIE.",Wasted Talent,15,8,"07/18/2021, 09:00",9th Place Finals,Final
"JOIN, or DIE.",Surly,13,10,"07/17/2021, 16:30",9th Place Semifinals,Final
Wasted Talent,Beyondors,13,11,"07/17/2021, 16:30",9th Place Semifinals,Final
"JOIN, or DIE.",Rest Stop,14,13,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Surly,All Bashed Out,13,12,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Naptown,Wasted Talent,12,14,"07/17/2021, 12:30",9th Place Quarterfinals,Final
Beyondors,Urnmen,13,8,"07/17/2021, 12:30",9th Place Quarterfinals,Final
bracket,11th Place
Surly,Beyondors,15,11,"07/18/2021, 09:00",11th Place,Final
bracket,13th Place Bracket
All Bashed Out,Urnmen,15,10,"07/18/2021, 09:00",13th Place Finals,Final
Rest Stop,All Bashed Out,7,15,"07/17/2021, 16:30",13th Place Semifinals,Final
Naptown,Urnmen,12,14,"07/17/2021, 16:30",13th Place Semifinals,Final
bracket,15th Place
Rest Stop,Naptown,15,8,"07/18/2021, 09:00",15th Place,Final
b,r,e,a,k
pools,17th Place Pool Play
pool,Pool H
Jalopy,The Bayou Boys,14,10,"07/17/2021, 10:30",Pool H,Final
Danger Mouse,The Bayou Boys,6,9,"07/17/2021, 12:30",Pool H,Final
Danger Mouse,Jalopy,9,7,"07/17/2021, 14:30",Pool H,Final
b,r,e,a,k
pools,17th Place Pool Play
pool,Pool I
Colorado Springs High Mileage,Geronimo,10,14,"07/17/2021, 10:30",Pool I,Final
Wolfhounds,Minimum Effort,8,12,"07/17/2021, 10:30",Pool I,Final
Colorado Springs High Mileage,Minimum Effort,13,10,"07/17/2021, 12:30",Pool I,Final
Wolfhounds,Geronimo,8,15,"07/17/2021, 12:30",Pool I,Final
Colorado Springs High Mileage,Wolfhounds,14,10,"07/17/2021, 14:30",Pool I,Final
Geronimo,Minimum Effort,14,7,"07/17/2021, 14:30",Pool I,Final
b,r,e,a,k
brackets,17th Place
bracket,17th Place
Jalopy,Geronimo,11,9,"07/18/2021, 09:00",17th Place,Final
bracket,19th Place
The Bayou Boys,Colorado Springs High Mileage,8,15,"07/18/2021, 09:00",19th Place,Final
bracket,21st Place
Danger Mouse,Minimum Effort,10,13,"07/18/2021, 09:00",21st Place,Final
b,r,e,a,k
