Prairies Canadian Regionals,womens club,9,7,2005
,,2005-07-09,2005-07-09
https://scorereport.net/2005/womens/event1738
Sirens
b,r,e,a,k
Fusion
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Sirens,Fusion,1,0,"07/09/2005, 00:00",Bracket,final
b,r,e,a,k
