Wash/BC Sectionals,womens club,18,9,2005
Burlington,Wa,2005-09-18,2005-09-18
https://scorereport.net/2005/womens/event1793
Riot
b,r,e,a,k
Hussy
b,r,e,a,k
RoughRiders
b,r,e,a,k
Viva!
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Riot,Hussy,15,3,"09/18/2005, 09:00",Pool A,final
RoughRiders,Viva!,15,5,"09/18/2005, 09:00",Pool A,final
Riot,Viva!,15,4,"09/18/2005, 10:40",Pool A,final
RoughRiders,Hussy,15,7,"09/18/2005, 10:40",Pool A,final
Riot,RoughRiders,15,11,"09/18/2005, 12:20",Pool A,final
Hussy,Viva!,12,6,"09/18/2005, 12:20",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
