East Coast Sectionals,womens club,10,9,2005
Cumming,GA,2005-09-10,2005-09-10
https://scorereport.net/2005/womens/event1876
Ozone
b,r,e,a,k
Savage Booty
b,r,e,a,k
Strike
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool W
Ozone,Savage Booty,17,0,"09/10/2005, 11:00",Pool W,final
Strike,Savage Booty,17,2,"09/10/2005, 13:15",Pool W,final
Ozone,Strike,17,6,"09/10/2005, 15:30",Pool W,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
