Big Sky Open Sectionals,open club,16,9,2006
Calgary,Alberta,2006-09-16,2006-09-16
https://scorereport.net/2006/open/event2888
Invictus
b,r,e,a,k
7-Gauge
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Invictus,7-Gauge,17,4,"09/16/2006, 09:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
