Bay Area Scrimmage,open club,10,9,2006
Moraga,CA,2006-09-10,2006-09-10
https://scorereport.net/2006/open/event3001
YR
b,r,e,a,k
Contra
b,r,e,a,k
Oaks
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
YR,Contra,15,8,"09/10/2006, 00:00",Pool A,final
Oaks,Contra,0,1,"09/10/2006, 00:00",Pool A,final
YR,Oaks,15,11,"09/10/2006, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
