PLUbbq,college-womens,12,3,2005
Tacoma,WA,2005-03-12,2005-03-13
https://scorereport.net/2005/college-womens/event1169
Western Washington
b,r,e,a,k
Brigham Young
b,r,e,a,k
Pacific Lutheran
b,r,e,a,k
California-B
b,r,e,a,k
Lewis & Clark
b,r,e,a,k
Linfield
b,r,e,a,k
Western Washington-B
b,r,e,a,k
The Northwest School Girls A
b,r,e,a,k
Whitman
b,r,e,a,k
Pacific Lutheran B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Western Washington,Brigham Young,4,13,"03/12/2005, 08:30",Pool A,final
pool,Pool B
Pacific Lutheran,California-B,13,0,"03/12/2005, 08:30",Pool B,final
Lewis & Clark,Linfield,13,2,"03/12/2005, 08:30",Pool B,final
Pacific Lutheran,Lewis & Clark,13,6,"03/12/2005, 10:15",Pool B,final
Pacific Lutheran,Western Washington-B,13,0,"03/12/2005, 12:00",Pool B,final
Lewis & Clark,California-B,1,0,"03/12/2005, 12:00",Pool B,final
Pacific Lutheran,Linfield,13,3,"03/12/2005, 13:45",Pool B,final
Lewis & Clark,Western Washington-B,13,3,"03/12/2005, 15:30",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Champ Bracket
The Northwest School Girls A,Western Washington-B,15,4,"03/12/2005, 00:00",Champ Bracket,final
Lewis & Clark,The Northwest School Girls A,15,8,"03/12/2005, 00:00",Champ Bracket,final
Lewis & Clark,Whitman,15,6,"03/12/2005, 00:00",Champ Bracket,final
Pacific Lutheran,Pacific Lutheran B,3,0,"03/12/2005, 00:00",Champ Bracket,final
Pacific Lutheran,Western Washington,15,6,"03/12/2005, 00:00",Champ Bracket,final
Western Washington,Linfield,15,9,"03/12/2005, 00:00",Champ Bracket,final
Pacific Lutheran,Lewis & Clark,15,9,"03/13/2005, 00:00",Champ Bracket,final
bracket,5th
b,r,e,a,k
