Burple Valley IV,college-womens,30,4,2005
Williamstown,MA,2005-04-30,2005-05-01
https://scorereport.net/2005/college-womens/event1504
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
b,r,e,a,k
