Texas Sectionals,college-womens,16,4,2005
College Station,TX,2005-04-16,2005-04-16
https://scorereport.net/2005/college-womens/event1458
Texas
b,r,e,a,k
Rice
b,r,e,a,k
Texas A & M
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Texas,Rice,15,3,"04/16/2005, 00:00",Pool A,final
Texas A & M,Rice,15,5,"04/16/2005, 00:00",Pool A,final
Texas,Texas A & M,14,4,"04/16/2005, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
