The Breast Hat Tournament Ever,open club,14,10,2012
Dartmouth,MA,2012-10-14,2012-10-14
https://scorereport.net/2012/open/event11932
2012000A
b,r,e,a,k
2012000E
b,r,e,a,k
2012000D
b,r,e,a,k
2012000B
b,r,e,a,k
2012000F
b,r,e,a,k
2012000C
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
2012000A,2012000E,,,"10/14/2012, 10:00",Pool A,scheduled
2012000D,2012000E,,,"10/14/2012, 11:30",Pool A,scheduled
2012000A,2012000D,,,"10/14/2012, 13:00",Pool A,scheduled
pool,Pool B
2012000B,2012000F,,,"10/14/2012, 10:00",Pool B,scheduled
2012000C,2012000F,,,"10/14/2012, 11:30",Pool B,scheduled
2012000B,2012000C,,,"10/14/2012, 13:00",Pool B,scheduled
b,r,e,a,k
brackets,Bracket
bracket,1 vs 1
bracket,2 vs 2
bracket,3 vs 3
b,r,e,a,k
