2012 USA Ultimate East Coast Club Open Sectionals,open club,8,9,2012
East Point,GA,2012-09-08,2012-09-09
https://scorereport.net/2012/open/event11339
Georgia Tech Z
b,r,e,a,k
Graideia
b,r,e,a,k
Six Pack
b,r,e,a,k
SMOKESHACK
b,r,e,a,k
Chain Lightning
b,r,e,a,k
Tanasi
b,r,e,a,k
Dune Cats
b,r,e,a,k
Voodoo (SO)
b,r,e,a,k
JCOW
b,r,e,a,k
Reckon
b,r,e,a,k
P-Funk
b,r,e,a,k
ROMA ULTIMA
b,r,e,a,k
Bolt Cutters
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Georgia Tech Z,Graideia,10,15,"09/08/2012, 09:00",Pool A,final
Six Pack,SMOKESHACK,13,10,"09/08/2012, 09:00",Pool A,final
Chain Lightning,SMOKESHACK,13,6,"09/08/2012, 11:00",Pool A,final
Six Pack,Georgia Tech Z,13,3,"09/08/2012, 11:00",Pool A,final
Chain Lightning,Graideia,13,2,"09/08/2012, 13:00",Pool A,final
SMOKESHACK,Georgia Tech Z,13,1,"09/08/2012, 13:00",Pool A,final
Chain Lightning,Georgia Tech Z,13,1,"09/08/2012, 15:00",Pool A,final
Six Pack,Graideia,13,1,"09/08/2012, 15:00",Pool A,final
Chain Lightning,Six Pack,13,9,"09/08/2012, 17:00",Pool A,final
SMOKESHACK,Graideia,13,4,"09/08/2012, 17:00",Pool A,final
pool,Pool B
Tanasi,Dune Cats,15,10,"09/08/2012, 09:00",Pool B,final
Voodoo (SO),JCOW,15,5,"09/08/2012, 09:00",Pool B,final
Tanasi,JCOW,15,5,"09/08/2012, 11:00",Pool B,final
Voodoo (SO),Dune Cats,14,13,"09/08/2012, 11:00",Pool B,final
Tanasi,Voodoo (SO),15,8,"09/08/2012, 13:00",Pool B,final
Dune Cats,JCOW,15,7,"09/08/2012, 13:00",Pool B,final
pool,Pool C
Reckon,P-Funk,15,13,"09/08/2012, 09:00",Pool C,final
ROMA ULTIMA,Bolt Cutters,11,10,"09/08/2012, 09:00",Pool C,final
Reckon,Bolt Cutters,14,13,"09/08/2012, 11:00",Pool C,final
ROMA ULTIMA,P-Funk,15,9,"09/08/2012, 11:00",Pool C,final
Reckon,ROMA ULTIMA,14,15,"09/08/2012, 13:00",Pool C,final
P-Funk,Bolt Cutters,12,15,"09/08/2012, 13:00",Pool C,final
b,r,e,a,k
brackets,Bracket
bracket,*Wildcard*
Dune Cats,Bolt Cutters,12,11,"09/08/2012, 15:00",*Wildcard*,final
bracket,*Wildcard*
P-Funk,JCOW,15,7,"09/08/2012, 15:00",*Wildcard*,final
bracket,1st Place Bracket
Chain Lightning,Dune Cats,15,7,"09/09/2012, 09:00",1st Place Bracket,final
Reckon,Voodoo (SO),14,8,"09/09/2012, 09:00",1st Place Bracket,final
Six Pack,ROMA ULTIMA,12,11,"09/09/2012, 09:00",1st Place Bracket,final
Tanasi,SMOKESHACK,13,6,"09/09/2012, 09:00",1st Place Bracket,final
Chain Lightning,Reckon,15,10,"09/09/2012, 11:00",1st Place Bracket,final
Tanasi,Six Pack,15,10,"09/09/2012, 11:00",1st Place Bracket,final
Chain Lightning,Tanasi,15,10,"09/09/2012, 13:00",1st Place Bracket,final
bracket,3rd Place Bracket
Dune Cats,ROMA ULTIMA,14,13,"09/09/2012, 11:00",3rd Place Bracket,final
SMOKESHACK,Voodoo (SO),14,11,"09/09/2012, 11:00",3rd Place Bracket,final
Reckon,Dune Cats,15,4,"09/09/2012, 13:00",3rd Place Bracket,final
Six Pack,SMOKESHACK,15,4,"09/09/2012, 13:00",3rd Place Bracket,final
Six Pack,Reckon,14,13,"09/09/2012, 15:00",3rd Place Bracket,final
bracket,5th Place Game
SMOKESHACK,Dune Cats,W,L,"09/09/2012, 15:00",5th Place Game,final
bracket,7th Place Game
ROMA ULTIMA,Voodoo (SO),W,L,"09/09/2012, 15:00",7th Place Game,final
b,r,e,a,k
