NUTC Invite,open club,19,8,2012
Amherst,MA,2012-08-19,2012-08-19
https://scorereport.net/2012/open/event11591
Dark or Light
b,r,e,a,k
The Nights Watch
b,r,e,a,k
Garuda
b,r,e,a,k
Starfox
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Dark or Light,The Nights Watch,12,15,"08/19/2012, 10:30",Pool A,final
Garuda,Starfox,15,7,"08/19/2012, 10:30",Pool A,final
Dark or Light,Starfox,14,16,"08/19/2012, 12:30",Pool A,final
Garuda,The Nights Watch,15,10,"08/19/2012, 12:30",Pool A,final
Dark or Light,Garuda,4,9,"08/19/2012, 14:30",Pool A,final
The Nights Watch,Starfox,16,17,"08/19/2012, 14:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
