2010 USA Ultimate Upstate New York Club Mixed Sectionals,mixed club,18,9,2010
Ithaca,NY,2010-09-18,2010-09-19
https://scorereport.net/2010/mixed/event7143
Rukus
b,r,e,a,k
Suck
b,r,e,a,k
Lake Effect
b,r,e,a,k
Milton
b,r,e,a,k
Bermuda
b,r,e,a,k
Destructors
b,r,e,a,k
Clown Town 4
b,r,e,a,k
Kung Fu Grip
b,r,e,a,k
Vino Ithaca
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Rukus,Suck,7,10,"09/18/2010, 09:00",Pool A,final
Lake Effect,Milton,3,13,"09/18/2010, 09:00",Pool A,final
Bermuda,Milton,10,8,"09/18/2010, 10:40",Pool A,final
Lake Effect,Rukus,12,5,"09/18/2010, 10:40",Pool A,final
Bermuda,Suck,13,2,"09/18/2010, 12:20",Pool A,final
Milton,Rukus,13,1,"09/18/2010, 12:20",Pool A,final
Bermuda,Rukus,13,4,"09/18/2010, 14:00",Pool A,final
Lake Effect,Suck,13,6,"09/18/2010, 14:00",Pool A,final
Bermuda,Lake Effect,13,9,"09/18/2010, 15:40",Pool A,final
Milton,Suck,13,1,"09/18/2010, 15:40",Pool A,final
pool,Pool B
Destructors,Clown Town 4,15,5,"09/18/2010, 11:00",Pool B,final
Kung Fu Grip,Vino Ithaca,15,8,"09/18/2010, 11:00",Pool B,final
Destructors,Vino Ithaca,15,2,"09/18/2010, 13:10",Pool B,final
Kung Fu Grip,Clown Town 4,15,4,"09/18/2010, 13:10",Pool B,final
Destructors,Kung Fu Grip,11,15,"09/18/2010, 15:20",Pool B,final
Clown Town 4,Vino Ithaca,15,11,"09/18/2010, 15:20",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,2nd / 3rd / 4th Bracket
Bermuda,Destructors,15,12,"09/19/2010, 11:00",2nd / 3rd / 4th Bracket,final
Milton,Kung Fu Grip,W,L,"09/19/2010, 11:00",2nd / 3rd / 4th Bracket,final
Bermuda,Milton,15,14,"09/19/2010, 13:00",2nd / 3rd / 4th Bracket,final
bracket,7th / 8th Bracket
Clown Town 4,Rukus,8,5,"09/19/2010, 13:00",7th / 8th Bracket,final
bracket,Championship Bracket
Lake Effect,Suck,11,3,"09/19/2010, 15:00",Championship Bracket,final
bracket,2nd / 3rd Final
Milton,Kung Fu Grip,15,8,"09/19/2010, 17:00",2nd / 3rd Final,final
b,r,e,a,k
