2010 USA Ultimate Desert Club Mixed Sectionals,mixed club,18,9,2010
Pinetop,AZ,2010-09-18,2010-09-18
https://scorereport.net/2010/mixed/event7506
Barrio
b,r,e,a,k
Mother
b,r,e,a,k
Red or Green
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Barrio,Mother,15,4,"09/18/2010, 11:00",Pool A,final
Barrio,Red or Green,15,12,"09/18/2010, 13:00",Pool A,final
Red or Green,Mother,15,2,"09/18/2010, 15:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
