2010 USA Ultimate Hawaii Club Mixed Sectionals,mixed club,12,9,2010
Honolulu,Hawaii,2010-09-12,2010-09-12
https://scorereport.net/2010/mixed/event7507
Party Van
b,r,e,a,k
Implosion
b,r,e,a,k
Shugga
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Party Van,Implosion,15,2,"09/12/2010, 10:00",Pool A,final
Shugga,Implosion,14,10,"09/12/2010, 12:00",Pool A,final
Party Van,Shugga,15,12,"09/12/2010, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
