Boston Invite 2024,Club - Men ,13,7,2024
Devons,MA,2024-07-13,2024-07-14
https://play.usaultimate.org/events/Boston-Invite-2024/schedule/Men/Club-Men/
Sprout,1
teamInfo,,"Amherst, Massachusetts",,,
0,Arthur Aucoin
0,Ben Ayres
0,Forrest Williams
0,Galen Harwood
0,Jonah Barry
0,Leo Narbonne
0,Luca  Harwood
0,Miles Montgomery-Butler
0,Ryan Dinger
1,Nima Lhamo
3,Michael Ising
5,Daniel Kang
6,Rustin Ingold-Smith
7,Tomo Liou
9,Jae Lee
15,Jonah Stang-Osborne
16,Nadav Berkman
18,Sam Green
23,Kristof Rohaly-Medved
27,Caelan McSweeney
35,Patrick Connor
37,Gavin Abrahamsson
42,Liam Gallinagh
68,Benjamin Nelson
b,r,e,a,k
Big Wrench,8
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
00,Alex Kapinos
00,Andrew Zaccardi
00,Brian Wyer
00,Carter Thallon
00,Charles Marokhovsky
00,Chris Yang
00,Christopher Richmond
00,Conor McManamy
00,Declán Golden
00,Emanuel Coleman
00,Ethan Cardi
00,Evan Karson
00,Jack Facey
00,Jacob Hobbie
00,Jacob Taylor
00,Lucas Johnson
00,Matt Sehgal
00,Michael Klein
00,Nolan Prince
00,Ryan Kadet
00,Ryan McManus
00,Sam Farnsworth
00,Stephen Abel
00,Tobey Chang
00,William Burke
00,Wilson Wu
b,r,e,a,k
Helots,9
teamInfo,,"Sparta, New Jersey",https://www.instagram.com/sparta.helots/,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
7,Vishal Anand
00,Thomas Wu
00,Oscar Sucre
00,Aiden  Reed
00,Austin Fan
00,Creston Brooks
00,Jason Li
02,Maxwell Caputo
07,Nicholas Kern
15,Sean Maxcy
17,Neal Vasireddi
18,Eric Harnisher
27,Jason Pon
30,Matthew Timoney
42,Matt Bartley
45,Jordan Chang
46,Matthew Berdel
80,Stephen Snelson
b,r,e,a,k
Odyssey,16
teamInfo,,"Medford , Massachusetts",,,
0,Ethan Moore
0,Joe Brod
0,Thomas Cronin
1,Ryan Prescott
3,William Pascoe
4,Michael Walker
6,Benjamin Weber
7,Michael Castellano
8,Qijin Chau
8,Nicholas Kochersperger
10,Elliot Mintz
10,Kaiyan Talavia
11,Kyuhyun Kim
11,Jack Hogan
11,Anthony Longo
12,Trevor Spadafora
13,Noah Schnipper
20,Adrian Baker
21,Jason Berube
26,Jack McShane
36,Henry Berger
38,Nicholas  Dell'Amore
50,Timothy Corkery
52,Gabriel Rhodes
63,Jonathan Coombs
71,Sebastien Kline
b,r,e,a,k
Crossfire,17
teamInfo,,"Boston , Massachusetts",,,
0,Andrew Rogers
0,Andrew Okyere
0,Benjamin Whidden
0,Christopher Wilson
0,Dennis Poirier III
0,Diego  Aldana
0,Ethan  Zhang
0,Ethan Wagner
0,Ethan King
0,Ian Bowe
0,Kyle Roke
0,Sudarshan Sekar
0,Zachary Ewing
5,Ryan Dozer
6,Aidan Carter
10,Jonathan Monderer
