Philly Open 2024,Club - Mixed ,3,8,2024
Allentown,PA,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Philly-Open-2024/schedule/Mixed/Club-Mixed
Funk,1
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Matt Latvis
02,Allison Case
03,Melissa Torchio
04,Meta Learey
05,Paloma Oteiza
06,Zachary Schiff
07,Isabelle Vandamme
08,Thomas Santiago
09,Sammy Muench
10,Robert (Bobby) Owens
11,Owen McGarry
12,Stellah Marienthal-Legendre
13,Rebecca Tucker
15,Flynn McCarthy
17,Liam McCarthy
18,Arianna Edwards
19,Cheyenne Mallo
21,Briana Chanowitz
22,Jordan Chow
24,Jordan Acker
30,Ava Harnick
32,Christopher Losapio
36,Lindsay Ork
42,Joseph Babbino
47,Lucas Murphy
80,Christina Chin
b,r,e,a,k
Farm Show,14
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Anna Tarren
0,Brianna Smith
0,Brittney Brown
0,Emily Higley
0,Jack Wisner
0,Jacob Taylor
0,Jose Maldonado
0,Kathryn Smith
0,Kristen Dietrick
0,Maia Nguyen
0,Patrick Joyce
0,Gabby  Wood
0,Gloria Boronow
7,Lily Nong
7,Bradley Dussinger
12,Rebecca Canetti
15,Christopher Man
18,Seth Canetti
22,Evan Novacek
22,Iris Ng
25,Ethan Krokonko
26,Angela Martin
32,Zack Hunsberger
55,Timothy Brubaker
77,Spencer Whitcomb
b,r,e,a,k
District Cocktails,15
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/CocktailsUltimate,https://twitter.com/DCCocktailsUlti
0,Ann Postolowski
0,Bryce Wiedenbeck
0,Camila Cabanne
0,Daley Burns
0,Daniel Bowman
0,Dru Dunn
0,Ian Edgell
0,Isaac Kinton
0,John Giannini
0,Julianne Twomey
0,Kane Gormley
0,Katherine Murray
0,Kelsey Schoeman
0,Emily Xu
0,Erik Larmore
0,Frances Taschuk
0,Natsu Manning
0,Noah Carter
5,Britney DeRoehn
6,Megan Humes Haber
14,Egburonu Uduka
18,Galen Reifsnider
25,Thomas Frazier
27,Steven Whelan
28,Alec Marks
32,Amelia Becker
b,r,e,a,k
Domino Effect,28
teamInfo,,"New York, New York",https://www.instagram.com/dominoeffect_ultimate,,
0,Ashley Wong
0,Caleb Kaufman
0,Caroline Sun
0,Chitaka Matsui
0,Edward Fenster
0,Ella Sherman
0,Emma Alatzas
0,Jed Higdon
0,Jonathan Walls
0,Joshua Zinger
0,Justin Tsang
0,Kyra Ramesh Krishna
0,Lissa Geida
0,Micaela Aylward-Pigott
0,Sahil Hansalia
0,Sara Allen
0,Sophie Krichevsky
0,WeiBang Huang
0,William Jaffe
0,James McIntyre
15,Hakeem Adeyemi
17,Jason Valverde
18,Albert Rosario-Pichardo
18,Gil Benhamou
98,Grainne Casey
b,r,e,a,k
Buffalo Lake Effect,2
teamInfo,,"Buffalo, New York",www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Colton Zack
0,Dwayne Neill
0,Emilee Nelson
0,Evan Bembenista 
0,Georgie Andrews
0,Hannah Rapp
0,Jennine Kanaby
0,Jordan Stepien
0,Katie Bilicki
0,Nick Lenhard
0,Riley Robertson
0,Sarah Flint
0,Theresa Dames
0,Timothy (TJ) Burns
8,Sarah Burns
8,Shane Watts
9,Michelle Tran
20,Hales Pink
26,Matthew Montera
55,Loriana Schneider
63,Jack Puttre
99,Eoin Joyce
b,r,e,a,k
Legion,13
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Asha Gillette
0,Brendan Kinne
0,Caleb Weldy
0,Alanysse Solomon
0,Krista Habermas
0,Lowe Bibby
0,Matthew Glasgow
0,McKenzie Ross
0,Sarah Handel
0,Stacy Glasgow
1,Rupert Armentrout
2,Kevin Habermas
3,Joshua Duke
3,Ashley Mast
12,Jonathan Mast
14,Andrew Lewis
25,Elizabeth Ware
34,Benjamin Barnett
37,Brandon Lison
58,Ian Rankin
82,Hannah VerasAlba
b,r,e,a,k
Delabear,16
teamInfo,,"Wilmington, Delaware",,,
00,Frank Gillan
01,Kelly Wojtan
02,Jillian Cohen
05,Rory Smith
07,Caitlin Gleason
08,Ricky Evans
11,Lindsay Arnone
12,Rachel Owrutsky
14,Matt Reenstra
15,Graham Coughlin
16,Jonathan Cohen
17,Elise Colomb
18,Megan Frazier
19,Joseph Goodell
20,Andrew Klarner
21,Andrew Weitzman
26,Suzanne Sirianni
28,Leah Boucher
37,Brent Schroeder
42,Catherine Mollmann
44,Nicholas Moon
56,Zachary Hunt
64,Tabitha Earls
91,Dom Gallo
b,r,e,a,k
Voltage,27
teamInfo,,"Baltimore, Maryland",,,https://twitter.com/VoltageUltimat1
0,Catherine Brown
0,Fujia Zheng
0,Raymond Oliphant
0,shana Gittleson
0,shana Gittleson
0,Ya Chih Cheng
2,Nadia BenAissa
7,Akia Jones
8,Mykiah Ashley
9,Austin Aguilera
10,Victoria Daniel-Okeke
11,Danica Palacio
14,Christina Hoffman
19,Amelia Huang
21,Evan  Silwick
24,Aden O'Donoghue
32,Christopher McCormick
47,Brandon Turnbaugh
64,Ishmeal Lee
77,Teodora Consoli
81,Joseph Davis
83,Sean Hill
92,Neil Kpamegan
b,r,e,a,k
Oasis Ultimate,12
teamInfo,,"Tampa, Florida",,https://www.facebook.com/OasisUltimate,https://twitter.com/oasis_ultimate
0,Benjamin Jost
0,Brandon French
0,Brenton Baxley
0,Cassandra Patterson
0,Christina Levy
0,Ellie Thomson
0,Jenny Rodriguez
0,Jonah Hagstad
0,Mohammed Judeh
0,Patrick Gettino
0,Sarah Bergstrom
0,Tanwaya Boyts
0,Zachary Rowland
2,Lynn Vonder Haar
6,Jemima Tolentino
7,Joseph Fleury
8,Riley Olsen
25,Alyssa Devin
45,Bryan Redden
54,Jonny Rudolph
96,Jon Smidt
b,r,e,a,k
Bench,3
teamInfo,,"albany, New York",,,
0,Aliza Cotton
0,Chris Lavery
0,Dominique Bassallo
0,Evan Creer
0,Gabriel Hage
0,Holly Hunt
0,Christopher Hummel
0,David Koch
0,Isabel Cummings
0,Joshua Glick
0,Kaitlyn Clay
0,Kate Purcell
0,Lauren Ryan
0,Rebecca Brown-Weinstock
5,Jeff Maskalunas
6,Sam Phippen
15,Diane Dreifuss
17,Christine Baumeister
22,Owen Kumasaka
34,Ava Champitto
36,Billy Daniels
37,Nick Alfonso
74,Ian Daughton
b,r,e,a,k
HVAC,17
teamInfo,,"Washington DC, District of Columbia",https://forms.gle/HYj1SoK9RH69efqcA,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Ayla Volante
0,Ben Frattini
0,Carolyn Fante
0,Charlotte Lin
0,Hayden Oyos
0,Josh Levin
0,Krista Woodward
0,Ali DePaolo
0,Allison Lupatkin
0,LT Tucker
0,Malcom Fox
0,Maya Collins
0,Milo Rappoport
12,Sai Priyatam Tayi
13,Austin Pelli
17,Stephen Ng
17,Landrum Beard 
18,Has Bhatti
20,Sean Mizoguchi
24,Zuzanna Rybicka
24,Luke Rosentel
27,Tyler Coleman
28,Kyle Duffy
95,Miriam  Gorbach
b,r,e,a,k
Brooklyn Hive,26
teamInfo,,"New York, New York",https://www.instagram.com/brooklyn_hive_ultimate/,,
0,Ben Pakter
0,Billie Feigin
0,Callie Zane
0,Candela de Amorrortu
0,Carter Hartmann
0,Chris Pliszak
0,Daniel Katz
0,David Hill
0,Eri Okuma
0,Jeremy Doll
0,Jessica Sacks
0,Jon Schlosberg
0,Jonathan Shapiro
0,Laura Kidder
0,Marguerite Maloney
0,Maria Duke
0,Sara Kalet-Schwartz
0,Sasha Harrison
0,Sonia Bloom
2,Isabel Sullivan
6,Alex Schlegel
10,Jonathan Lao
11,Harrison Kaish
19,Hallie Schaeffer
65,David Gallagher
89,Zachai Kalet-Schwartz
b,r,e,a,k
Jumbo Slice,11
teamInfo,,"Washington, District of Columbia",https://t.co/YsrsJQD7yb,,https://twitter.com/jumbosliceulti
coaches,Joe (Peanut) Dweck,Kai Jensen
00,Erin Crider
02,Sonia Meyer
06,Luke Pascale
08,Erica Yee
09,Alice Emch
10,Cameron Johnson
10,Conor Tidgewell
11,Juliet Bishop
12,Kalene Morozumi
14,Joshua Bransford
15,Kylie Auble
17,Christopher King
21,Matt McGoogan
23,Olivia Arellano
33,Julianna Gohman
42,Madalyn  Sica
43,Jake Rovner
44,Nathan Wong
63,Jon Pressimone
80,Alexander Daley
84,Daniel Friedman-Brown
87,Carl Johnson
88,Clara Honigberg
94,Daniel Selwyn
