Texas 2 Finger 2024,Club - Men ,29,6,2024
Plano,TX,2024-06-29,2024-06-30
https://play.usaultimate.org/events/Texas-2-Finger-2024/schedule/Men/Club-Men/
H.I.P,1
teamInfo,,"Texas City, Texas",,,https://twitter.com/hip_flatball/
0,Jess Browder-Long
0,Kolby Janzen
0,Matthew Bierschenk
0,Casey LeMay
0,Peter Ngo
0,Cody Holloway
0,Robert McDonald
0,Alexander Janelle
0,Brendan Keith
2,Matthew Bennett
6,Alexander Heath
7,Jordan Taylor
9,Peter Clarke
13,Nash Mock
14,Reid Bacon
16,Chris Brooks
30,Mick Walter
44,Greg Muth
69,Evan Parizot
b,r,e,a,k
Cowtown Cannons,8
teamInfo,,"Fort Worth, Texas",,,
0,Alexander Bacon
0,Austin Wargin
0,Caleb Hughes
0,Cody Chase
0,Evan Garner
0,John Brannon
0,Kelso Hartley
0,Liam McKay
0,Matthew Bunker
0,Michael Dunnegan
0,Nicholas Williams 
0,Nick Neal
0,Ryan Stomp
0,Samuel Park
8,Isaac Fuller
09,Steve Harring
12,David Knight
26,Nathan Reynolds
28,Caleb Mills
32,Luke Sheppard
32,Justin Holt
87,Joshua Rainey
89,Joshua Romani
b,r,e,a,k
Clutch,9
teamInfo,,"Houston, Texas",,https://www.facebook.com/clutchultimate,https://twitter.com/clutchultimate
0,Kyle Finkel
0,Rhyan Miller
01,Jheremi Villarreal
02,Cody Pierce
03,Chris Brettell
04,Darrel  Francis III
07,Noah Furrh
08,Eric Zheng
11,Caiden Burt
12,Ismail Kassim
13,Tyler Loer
15,Isaac Baker
16,Jeffrey Byrd
18,Toan Pham
21,Francisco Gomez
22,Piercen Hoekstra
23,Vance Dicken
24,Wyatt Davies
28,Nathan Machak
30,Ryan Salters
31,Conner Montgomery
44,Matthew Reluzco
45,Samuel Heslep
52,Caleb Johnson
80,Connor Cole
b,r,e,a,k
Supercell,16
teamInfo,,"Oklahoma City, Oklahoma",,,@SuperCellOKC
0,Brandon Griffith
0,Brian McHatton
0,Cameron White
0,Donni Ahmadi
0,Gage Cowan
0,Matthew Smith
0,Matthew Blanchard
0,Nelson Siliet
0,Chris Dellenbaugh
0,Craig Batchelder
0,Ryan Orland
0,STEPHEN EASTON
1,Cullen Landry
7,Samuel Crapitto
9,Adam Hanizeski
10,Parker Dooly
14,Keagan Gustin
15,TJ Lee
33,Carson Nowland
33,Carson Nowland
89,Kenneth Boyd
b,r,e,a,k
Riverside Messengers,17
teamInfo,,"Austin, Texas",https://www.riversideultimate.org/,,https://twitter.com/MessengersUlti
0,Alex Hughes
0,Benjamin Zastrow
0,James Crosnoe
0,Jason Rivas
0,Keshav Ananth
0,Noah Ramirez
0,Shiv Patel
0,Troy Abbott
2,Audrick Pyronneau
2,Aidan Beam
5,GABE LEE
10,Eliot Lajaunie
10,Francis  Lasta
16,Brock Davis
16,Seth Ledezma
33,Agustin Barajas
45,Michael Duncan
50,David Piersall
b,r,e,a,k
Brawl,2
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Kyle Turner
1,Eric VerPloeg
2,Zachary Wenner
4,Lennon Dycus
5,Nand Patel
7,Samuel Garza
8,Mason Kelley
10,Andrew Maloney
11,Matthew Sutton
15,Frederick Christen
16,Aaron Smith
17,Darren Phillips
22,Scott Zachary
24,Ben Meister
30,Garrett Wilson
31,Thomas Trompeter
32,Jordan Penn-White
33,Drew Laird
42,Watson Anderson
48,Christian Parker
55,Matthew Hudspith
66,Jared Rojas
77,Willy Goal
89,Jack Wooldridge
98,Tanner Roberts
99,Benjamin Price
b,r,e,a,k
Riverside,7
teamInfo,,"Austin, Texas",http://riversideultimate.org,https://www.facebook.com/RiversideUltimate/,https://twitter.com/riversideulti
0,Adam Croissant
0,Johnny Chang
0,Kegan Wakefield
0,Kyle Jasany
0,Ryan Reinhart
0,Talon Balcom
0,Thomas Hannie
