2024 USA Ultimate North Central Grand Masters Women's Regionals (NC/SC Super Regional),Grand Masters - Women ,8,6,2024
Milwaukee,WI,2024-06-08,2024-06-09
https://play.usaultimate.org/events/2024-USA-Ultimate-North-Central-Grand-Masters-Womens-Regionals-NCSC-Super-Regional/schedule/Women/grand-masters-women/
Wisconsin Bitter,4
teamInfo,,"Milwaukee, Wisconsin",,,
0,Alicia Bosscher
0,Anna Williams
0,Arthi Padmanabhan
0,Georgia Bosscher
0,Jasmine Draper-Matthew
0,Kate Lyons
0,Laura Wehlitz
0,Remy Schor
4,Becky LeDonne
02,Huldah Gronvall
05,Rose Glinka
10,Chelsea Twohig
11,Melissa Gibbs
21,Erin Ferrari
23,Chelsea Putnam
25,Leigh Adams
27,Bryn Martyna
33,Katy Stanton
44,Corinne McKittrick
49,Robyn Fennig
71,Manisha Daryani
87,Austin Prucha
88,Claire Kelley
b,r,e,a,k
Infernold,2
teamInfo,,"Texas+, Texas",,,
0,Catalina Alfonso
0,Janice Lee
0,Jennifer Breaks
0,Kareina Lee
0,Kerry Murphy
0,Rui Juan Hu
0,Shazreen Meor Danial
1,Heather Ayers
5,Julie Francis
7,Erin Foley
9,Mary Fuzat
11,Sarah Lindsay
12,Christine Miller
33,Keeahna Chambers
39,Mattina Maloney
44,Catherine Belgarde
55,Veronica Dockery
77,Jen Palmero
b,r,e,a,k
Molly Blue,1
teamInfo,,"Denver/Boulder, Colorado",,,
0,Ashley Daly Morgan
0,Brady Cowiestoll
0,Carolyn Matthews
0,Christina McDowell
0,Courtney Butler
0,Kathleen Ratcliff
0,Kristina Snieder
0,Leigh Lathinghouse
1,Renee Lambo-Barnes
2,Emily Hanson
7,Allison Boyd
7,Ventana Harding
9,Jessica Witt
11,Jana Krutsinger
12,Melanie Deaver
13,Suzanne Jones
14,Katie Patterson
16,Jami Cashin
17,Anna Schott
18,Stephanie Schlosser
21,Betsy Andrews
24,Sandy Pham
25,Gail Swiryn
29,Lisa Doan
31,Elise Jones
43,Kelly Bolt
55,Leah Borsheim
83,Shanye Crawford
b,r,e,a,k
Grimalkin,3
teamInfo,,"Ames, Iowa",,,
0,Laura Sanchez 
0,"Mary ""Patty"" King"
6,Jessica Austermann
03,Taiwo Misra
05,Erin Healey
07,Sarah Savage
09,Rachel Derscheid
11,Jen Brown
12,Rachel Goldbach
15,Sarah Solarz
18,Jane Orians
20,Kathleen Quisenberry
21,Amy Sheldahl
22,Emma Harty
23,Tracy Farrell
25,Elizabeth Scheibel
30,Olufunmilola (Love) Anjonrin-Ohu
39,Blair Verney
42,Sara Gangel
49,Stephanie Jacobs
67,Jenny McKenzie
83,Kindall Druker
88,Michelle Waters
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Molly Blue,Grimalkin,0,0,"06/08/2024, 09:00",Pool A,Scheduled
Infernold,Wisconsin Bitter,4,15,"06/08/2024, 09:00",Pool A,Final
Molly Blue,Wisconsin Bitter,6,15,"06/08/2024, 11:00",Pool A,Final
Infernold,Grimalkin,15,5,"06/08/2024, 11:00",Pool A,Final
Molly Blue,Infernold,0,0,"06/08/2024, 13:00",Pool A,Scheduled
Grimalkin,Wisconsin Bitter,3,15,"06/08/2024, 13:00",Pool A,Final
b,r,e,a,k
