TCT Select Flight Invite East 2024,Club - Men ,27,7,2024
Sylvania,OH,2024-07-27,2024-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2024/schedule/Men/Club-Men/
GOAT,1
0,Jason Chung
0,Jordan Perry
0,Kevin Mateer
0,Michael Sweeney
0,Nick Talone
0,Ransome Martin
0,Sathvik Avulapati
0,Tejas Sivarajakumar
0,Wesley Dudas
1,Hunter Frederick
8,Ryan Manuel
9,Frederick Hennighausen
12,Nathan Silvestri
13,Kevin Zhang
14,Carter Kletch
16,Derek Raufeisen
19,Piyush Komali
21,Erik Messina
25,Kyle Brun
29,Mason Cary
51,Damian Delgado
81,Dylan Lipps
88,Christopher Saacks
88,Samuel Dunlap
b,r,e,a,k
Helots,15
teamInfo,,"Sparta, New Jersey",https://www.instagram.com/sparta.helots/,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
0,Andres Salamanca
0,Austin Fan
0,Creston Brooks
0,Jason Li
0,Matthew Berdel
0,Neal Vasireddi
0,Oscar Sucre
1,Maxwell Caputo
1,David Brewster
7,Nicholas Kern
7,Vishal Anand
11,Aiden  Reed
12,Thomas Wu
15,Sean Maxcy
37,Evan Sapirman 
42,Matt Bartley
45,Jordan Chang
80,Stephen Snelson
b,r,e,a,k
Beacon,12
teamInfo,,"Grand Rapids, Michigan",,,https://twitter.com/BeaconUlti
00,Jacob Felton
01,Gabe Ecenbarger
02,Justin Perticone
03,Jackson Willits
04,Trevor Polisuk-Balfour
06,Jordan Gabrielse
07,Ryan Lee
08,Cameron Thatcher
11,Michael Mansfield
14,Sawyer Fil
15,Alex Bertoia
18,Malachi Neil
21,Justin Von Kulajta Winn
27,Colin Fremeau
30,Austin Masselink
32,Elliot Davis
34,Colin Beauregard
35,Mitchell Savage
37,Gabriel Dobrozsi
41,Gregory Moreno
45,Aiden Rudy
51,Joseph Cubitt
54,Aaron Schwieterman
61,Caleb Stanish
81,Alec DenBraber
84,Michael Weber
b,r,e,a,k
Lounar,3
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,https://twitter.com/STLlounar
coaches,Patrick Stephens,Joseph Barzilai
0,Bryan Dunbar
3,Cameron Freeman
5,Landon Evans
7,Ryan Hays
9,Wilson Tryon
10,Matthew Niemer
11,Charles Lieberman
13,Ian McNamara
15,Ben Clark
16,David Atwood
17,Drew Law
18,Cody Curran
19,Joshua Gabella
20,John Marsh
21,Jaime Befeler
24,Seth Fisher-Olvera
25,Max Lang
35,Benjamin Reimler
42,David Valentine-Elam
43,Kai Durvasula
44,Benjamin Lamport
50,Blake Larson
55,Steven Ladenberger
88,Evan Dobson
b,r,e,a,k
Oak Grove Boys,5
teamInfo,,"ARLINGTON, Virginia",,https://www.facebook.com/OakgroveBoys/,https://twitter.com/OakGroveBoyz
40,Couper Kerns
69,Dennis Maclaine
69,Griffin Lo
69,Hunter Lang
69,Ian Connerney
69,Joe Novak
69,Joseph Evans
69,Joshua Simpson
69,Kamron Daftari
69,Kobe Oley
69,Kyle Flynn
69,Leif Hansen
69,Matt Thomas
69,Mike Vignali
69,Nicholas Albright
69,Rhys Bergeron
69,Samuel Gilmore
69,Scott Campbell
69,Sean Phippen
69,Xavier Maxstadt
69,Zachary Burpee
69,Alex Pistolesi
69,Brett Schoppert
69,Charles Baird
69,Charles Stimpson
69,Christopher Selwood
b,r,e,a,k
Brawl,14
teamInfo,,"Dallas, Texas",,,@dallasbrawl
00,Kyle Turner
01,Eric VerPloeg
02,Zachary Wenner
04,Lennon Dycus
05,Nand Patel
07,Samuel Garza
08,Mason Kelley
10,Andrew Maloney
15,Frederick Christen
16,Aaron Smith
17,Darren Phillips
22,Scott Zachary
31,Thomas Trompeter
32,Jordan Penn-White
33,Drew Laird
42,Watson Anderson
48,Christian Parker
55,Matthew Hudspith
66,Jared Rojas
77,Willy Goal
89,Jack Wooldridge
98,Tanner Roberts
99,Benjamin Price
b,r,e,a,k
Alamode,11
teamInfo,,"San Antonio, Texas",,,
0,Drew Gullahorn
0,Graham Hazlewood
0,Lambert Tio
0,Paul Wheaton
0,Joshua Gammon
1,Skye Knight
1,Andrew Muller
2,Darrell Davis
2,Justin Shelby
7,Gavin Hart
9,Kevin McGloin
10,Chase Stegall
12,Thomas Plaxton
13,George Tharakan
17,Anthony Shelton
23,Jordan Salazar
28,Axel Anderson
34,Blake Marlowe
44,David Haeussler
47,John Shelley
69,Christian Paterka
81,Jacob Rosen
88,Brad Ellis
91,Austin Wehrheim
92,Benjamin Andrade
b,r,e,a,k
Colonels,13
teamInfo,,"Louisville, Kentucky",https://louisvilleultimate.org/,https://www.facebook.com/colonelsfrisbee/,https://twitter.com/colonelsfrisbee
0,Conner Blalack
02,Doc Surrell
03,Ryan Fehrenbacher
04,Jacob Culver
06,Dan Cunningham
07,Nathan Sevenish
08,Lucas Coniaris
10,Rick Stewart
11,Daniel Harrison
16,Jason Osorio
17,Seth Gudeman
18,Amal Patel
21,Samuel Lucas
25,Sonny Koren
27,Collin Rassel
28,Tanner Graham
33,Nick Galbreath
39,Carter Hawkins
43,Benjamin Spergel
65,Julian Reeves
72,Benjamin Landry
73,Noah Rickelman
90,Robert Davenport
91,Matthew Wilhite
93,Richard Murt
95,Justin Gallagher
b,r,e,a,k
Phantom,6
teamInfo,,"Philadelphia , Pennsylvania",,https://www.facebook.com/phillyphantom,https://twitter.com/PhillyPhantomU
0,Allan Michel
0,Ari Carp
0,Avery Campbell
0,David Brandolph
0,Jackson Lutz
0,Mark Philipson
0,Matthew Martell
0,Nicholas Railey
0,Peter Cauchy
0,Ryan Cornelius
0,Nate Harnish
2,Thomas Preston
7,Jonathan Trzaska
10,Josh Lane
10,Chris Dixon
12,Michael  Maroon
13,Matthew Ellis
18,Adam Novak
23,Ian Dietrich
24,Cole Salomon
25,Nate Long
88,David Snead
b,r,e,a,k
Omen,4
teamInfo,,"Cincinnati, Ohio",,,https://twitter.com/omen_ultimate
0,Brady Smith
0,Ian Hailey
0,Jason Combs
0,Nathan Ploeger
0,Nihaal Sidhu
0,Steven Kolp
0,Zachary Robinson
2,Nicholas Betsch
8,Tim Settles
10,Calvin Caldwell
11,David Collins
12,Mike Finke
13,Kyle Romard
16,Dylan Hall
18,Michael Bruggeman
25,Bradley Caldwell
26,Jack Havey
30,Zachary Ford
32,Chris Ellis
35,Jared Regruth
58,Kydan Young
69,Michel Domenella
69,Nick Loughran
77,Jake Kenniv
78,Michael Ames
96,Daniel Khoe
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
GOAT,Cash Crop 2,15,8,"07/27/2024, 08:30",Pool A,Final
Trident,BARNSTORM,15,6,"07/27/2024, 08:30",Pool A,Final
GOAT,BARNSTORM,15,6,"07/27/2024, 10:15",Pool A,Final
Trident,Cash Crop 2,11,13,"07/27/2024, 10:15",Pool A,Final
GOAT,Trident,15,7,"07/27/2024, 12:00",Pool A,Final
Cash Crop 2,BARNSTORM,12,8,"07/27/2024, 12:00",Pool A,Final
pool,Pool B
Phoenix,baNC,15,8,"07/27/2024, 08:30",Pool B,Final
Kansas City Smokestack,Helots,13,8,"07/27/2024, 08:30",Pool B,Final
Phoenix,Helots,15,8,"07/27/2024, 10:15",Pool B,Final
Kansas City Smokestack,baNC,15,12,"07/27/2024, 10:15",Pool B,Final
Phoenix,Kansas City Smokestack,10,11,"07/27/2024, 13:45",Pool B,Final
baNC,Helots,15,6,"07/27/2024, 13:45",Pool B,Final
pool,Pool C
Lounar,Beacon,14,15,"07/27/2024, 08:30",Pool C,Final
Oak Grove Boys,Brawl,15,7,"07/27/2024, 08:30",Pool C,Final
Lounar,Brawl,15,8,"07/27/2024, 12:00",Pool C,Final
Oak Grove Boys,Beacon,11,15,"07/27/2024, 12:00",Pool C,Final
Lounar,Oak Grove Boys,14,11,"07/27/2024, 13:45",Pool C,Final
Beacon,Brawl,11,10,"07/27/2024, 13:45",Pool C,Final
pool,Pool D
Omen,Alamode,15,12,"07/27/2024, 10:15",Pool D,Final
Phantom,Colonels,10,15,"07/27/2024, 10:15",Pool D,Final
Omen,Colonels,12,14,"07/27/2024, 12:00",Pool D,Final
Phantom,Alamode,11,13,"07/27/2024, 12:00",Pool D,Final
Omen,Phantom,11,15,"07/27/2024, 13:45",Pool D,Final
Alamode,Colonels,14,10,"07/27/2024, 13:45",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Championship Bracket
GOAT,Cash Crop 2,0,0,"07/28/2024, 11:30",Final,Scheduled
GOAT,Lounar,15,10,"07/28/2024, 09:45",Semifinals,Final
Beacon,Cash Crop 2,11,12,"07/28/2024, 09:45",Semifinals,Final
GOAT,Phoenix,15,8,"07/28/2024, 08:00",Quarterfinals,Final
Alamode,Lounar,9,15,"07/28/2024, 08:00",Quarterfinals,Final
Beacon,Colonels,15,13,"07/28/2024, 08:00",Quarterfinals,Final
Cash Crop 2,Kansas City Smokestack,15,11,"07/28/2024, 08:00",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third
Lounar,Beacon,0,0,"07/28/2024, 11:30",Third,Scheduled
bracket,Fifth Place Bracket
Phoenix,Alamode,13,12,"07/28/2024, 09:45",Fifth Semifinals,Final
Colonels,Kansas City Smokestack,0,0,"07/28/2024, 09:45",Fifth Semifinals,Scheduled
bracket,Seventh Place
bracket,Ninth Place Bracket
BARNSTORM,Oak Grove Boys,0,0,"07/28/2024, 11:30",Ninth Place Semifinal,Scheduled
Phantom,Trident,0,0,"07/28/2024, 11:30",Ninth Place Semifinal,Scheduled
baNC,BARNSTORM,11,12,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
Omen,Oak Grove Boys,11,13,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
Phantom,Brawl,13,11,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
Helots,Trident,5,15,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
baNC,Omen,0,0,"07/28/2024, 09:45",Thirteenth Place Semifinal,Scheduled
Brawl,Helots,12,5,"07/28/2024, 09:45",Thirteenth Place Semifinal,Final
bracket,Fifteenth Place
b,r,e,a,k
