2024 Southwest Men's Regional Championship,Club - Men ,21,9,2024
Temecula,CA,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Southwest-Mens-Regional-Championship/schedule/Men/Club-Men/
Revolver,1
Skipjack,Offshore,0,0,"09/21/2024, 13:00",Pool B,Scheduled
pool,Pool C
Zyzzyva,Drought,13,7,"09/21/2024, 09:00",Pool C,Final
Wavestorms,Monsoon,13,3,"09/21/2024, 09:00",Pool C,Final
Zyzzyva,Monsoon,13,4,"09/21/2024, 11:00",Pool C,Final
Wavestorms,Drought,13,11,"09/21/2024, 11:00",Pool C,Final
Zyzzyva,Wavestorms,0,0,"09/21/2024, 13:00",Pool C,Scheduled
Drought,Monsoon,0,0,"09/21/2024, 13:00",Pool C,Scheduled
pool,Pool D
Nighthawk,OC Crows,13,10,"09/21/2024, 09:00",Pool D,Final
Hazard,Bonsoon,13,9,"09/21/2024, 09:00",Pool D,Final
Nighthawk,Bonsoon,13,5,"09/21/2024, 11:00",Pool D,Final
Hazard,OC Crows,13,8,"09/21/2024, 11:00",Pool D,Final
Nighthawk,Hazard,0,0,"09/21/2024, 13:00",Pool D,Scheduled
OC Crows,Bonsoon,0,0,"09/21/2024, 13:00",Pool D,Scheduled
b,r,e,a,k
brackets,Game-to-Go Bracket Play
bracket,1st Place Bracket
b,r,e,a,k
clusters,Placement Crossover Play
b,r,e,a,k
brackets,Placement Bracket Play
bracket,3rd Place Bracket
bracket,5th Place Bracket
bracket,7th Place Bracket
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
b,r,e,a,k
