2024 Capital Mixed Sectional Championship,Club - Mixed ,7,9,2024
Fredericksburg,VA,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Capital-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Revival,1
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
coaches,Keys Pattie
0,Sam Brothers
00,Brittany Taylor
00,Kris Harrison
05,Emma Colavincenzo
10,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
15,Jack Field
16,Donald Clark
17,Cullen Monahan
18,Matthew Neeley
23,Jane Frankel
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
32,Dominique Gibson
33,Laura  Catano
38,Ariel Vogel
40,Calvin Ciorba
42,Garrett Braun
44,Keila Strick
55,Molly Roy
57,Austin Bartenstein
64,Victoria Davis
87,Griffin Lang
b,r,e,a,k
Heavy Flow,10
teamInfo,,"Columbia, Maryland",,https://www.facebook.com/heavyflowulti/,https://twitter.com/heavyflowulti
00,Adolfo Rojas
00,Andrew Ryan
00,Andrew Nash
00,Cecelia Templeton
00,Dani Haverkamp
00,Evan Comisac
00,Garrett Carswell
00,Grant Kern
00,Heather Wenz
00,Jocelyn Cather
00,Joe Donovan
00,John Brun
00,Josias Beaubrun
00,Justin Chu
00,Katie Claggett
00,Kensey Katz
00,Lydia Dosh
00,Michelle Bank
00,Natalie Drake
00,Rachel Moser
00,Raizl Campbell
00,Samantha Sesum
00,Sean Walsh
00,Simeon Lee
00,Stephen Nichols
00,Winnie Yang
b,r,e,a,k
Legion,7
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Asha Gillette
0,Alanysse Solomon
0,Alexis Taylor
0,Brendan Kinne
0,Krista Habermas
0,Liu Bo Whitaker
0,Lowe Bibby
0,Marina Abila
0,Matthew Glasgow
0,McKenzie Ross
0,Sarah Handel
0,Walter Lee Lewis
1,Rupert Armentrout
2,Kevin Habermas
3,Joshua Duke
3,Ashley Mast
12,Jonathan Mast
14,Andrew Lewis
