2024 Texas Men's Sectional Championship,Club - Men ,7,9,2024
San Antonio,TX,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Texas-Mens-Sectional-Championship/schedule/Men/Club-Men/
Alamode,1
teamInfo,,"San Antonio, Texas",,,
0,Drew Gullahorn
0,Lambert Tio
0,Paul Wheaton
0,Joshua Gammon
0,Will Promecene
1,Skye Knight
1,Andrew Muller
2,Darrell Davis
2,Justin Shelby
7,Gavin Hart
9,Kevin McGloin
10,Chase Stegall
12,Thomas Plaxton
13,George Tharakan
17,Anthony Shelton
23,Jordan Salazar
28,Axel Anderson
34,Blake Marlowe
44,David Haeussler
47,John Shelley
69,Christian Paterka
81,Jacob Rosen
88,Brad Ellis
91,Austin Wehrheim
92,Benjamin Andrade
b,r,e,a,k
Cowtown Cannons,9
teamInfo,,"Fort Worth, Texas",,,
0,Austin Wargin
0,Bret Kenney
0,Caleb Hughes
0,Cody Chase
0,Daniel Winter
0,Evan Garner
0,John Brannon
0,Kelso Hartley
0,Liam McKay
0,Nicholas Williams 
0,Nick Neal
0,Ryan Stomp
0,Samuel Park
0,Matthew Bunker
0,Michael Dunnegan
4,Harrison West
8,Isaac Fuller
9,Steve Harring
12,David Knight
26,Nathan Reynolds
28,Caleb Mills
32,Luke Sheppard
32,Justin Holt
45,Kyle Boudreau
87,Joshua Rainey
89,Joshua Romani
b,r,e,a,k
Sprawl,8
teamInfo,,"Dallas, Texas",https://www.instagram.com/dallassprawl/,,
0,Lamont Atwood
01,Andy Evans
02,Micah Rehfuss
03,Kyle Kwezani
05,Joshua Fambro
06,Kaveen Patel
07,Preston McKee
08,Cameron Guillen
11,Justin England
12,Andrew Dorf
13,Thomas Abel
14,Brandon Locklear
17,Alexander Skerbitz
18,Ethan Horng
21,Stephen Giunta
23,Eian Brent
24,Nicholas Stambo
34,Geoffrey Cheng
34,Kristoff Boor
41,Ben Street
44,David Higuchi
48,Akul Kadyan
55,Owen Westfall
57,Jason Luciani
69,Lamar Seger
77,Ian Ambrose
b,r,e,a,k
Shrimp Discs,16
teamInfo,,"San Antonio, Texas",,,
0,Ashwin Raman
0,Cade Snyder
0,Emilio Benavente
0,Jared Schettler
0,Preston Jones
0,Ryan Wisnoski 
8,Damian Pena
10,Michael  Solis 
11,Tyler Porter
13,David Sacco
15,Antonio Rivera
21,Javier Flores
33,Jack Sanford
34,Edgar Camacho
41,Coby McGonagill
69,Joseph Torres
b,r,e,a,k
Riverside,2
teamInfo,,"Austin, Texas",http://riversideultimate.org,https://www.facebook.com/RiversideUltimate/,https://twitter.com/riversideulti
0,Adam Croissant
0,Ethan Ege
0,John Savage
0,Johnny Chang
0,Kegan Wakefield
0,Kyle Jasany
0,Michael Clark
0,Ryan Reinhart
0,Talon Balcom
0,Thomas Hannie
1,Jack Ostrand
2,Matt Goldberg
3,Michael Huang
4,Andres Rodriguez
4,Sean Brady
4,Trenton Hebert
6,Scott Hearne
8,Noah Sheets
16,Jon Olson
23,Ben Thollander
28,Trevor Sawatzky
33,Huy Nguyen
73,Mark Hansen
77,James Berry
80,Christopher Griego
86,Jordan Richter
b,r,e,a,k
Harvey Cats,7
teamInfo,,"Houston, Texas",,https://www.facebook.com/HarveyCatsUltimate?mibextid=ZbWKwL,
0,Andrew Robbins
0,Brandon Lin
0,Dylan Zeringue
0,Grant Odenwald
0,Jason Xie
0,Louis Wersan
0,Mark Baldauf
0,Rafael Cruz-Garcia
0,Robert Benson
0,Shawn Silverman
0,Travis Vermaelen
0,Zachary Cotter
2,Christian Hagan
5,Paul Passmore
7,Justin Thompson
10,Bryce Lippitz
12,Jason Miller
12,Joshua Narabal
17,Grant Hardy
18,William Steindorf
23,James Zuraw
45,Mark Graham
47,James Strasburg
69,Caleb Dixon
69,Mitchell Lutz
