2024 USA Ultimate Club Championships,Club - Mixed ,24,10,2024
San Diego,CA,2024-10-24,2024-10-27
https://play.usaultimate.org/events/2024-USA-Ultimate-Club-Championships/schedule/Mixed/Club-Mixed
BFG,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
coaches,Alissa Soo,Reid Koss,Stephen Gussin
0,Jason Yun
01,Anthony Goss
02,Kimberly Schlesinger
03,Mario O'Brien
04,Lucia Williams
05,Michael O'Brien
06,Jocelyn Sun
07,Anna Cauchy
11,Sadie Jezierski
12,Kaitlynne Roling
13,Aaron Wolf
15,Eliana Moskovitz
16,Samantha Rodenberg
17,Thomas Li
18,Conor Belfield
19,Derek Mourad
20,Alexa Kirkland
22,Lukas Ambrose
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
27,Jeffrey Pape
28,Leah Bar-On Simmons
46,AnnaMaria Pape
50,Gavin Leahy
99,Christian Foster
b,r,e,a,k
Red Flag,6
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
coaches,Jonathan He,Edward Guo
0,Koji Suzuki
05,Tiffany Zhang
06,Brayden Gee
08,Justin Podnar
09,Julia Zhou
10,Gagan Chatha
11,Julie Lee
12,Rvee  Brillantes
13,Kevin Tong
14,Avery Lee-Pii
15,Davis Toth
17,Madison Ong
19,Jake Yuen
20,Collefas Mot
21,Ellen Au-Yeung
24,Peter Yu
25,Bryn McColl
35,Amelie Marshall
48,Zellema Mot
73,Jamie Jung
77,Rex Yuen
86,Samson Hoy
87,Neo Debroux
88,Devon Bringeland-Powell
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
Tower,11
teamInfo,,"Sacramento, California",https://towerultimate.com/,,https://twitter.com/towerulti
coaches,Tanner Kinkead,Ryan Watson,Megan Schoellhamer
01,Jackie Welsch
03,Ryan Takayama
06,Maria Pascale
07,Morgan Greenwood
10,Sonny Zaccaro
11,Connor Levesque
12,Nicholas Alexander
13,Mark Leggio
14,Daniela Jimenez
15,Julianna Madigan
16,Kristin Weyenberg
17,Sean Treacy
21,Anders Eckburg
22,Aaron Adamson
23,Katrina Rowsey
24,Krista Takayama
25,Adam Egemo
27,Rachel Clarkson
31,Brent Moore
33,Lucy Campbell
34,Colin Smith
35,Raymond Lopez
49,Robyn Fennig
55,Tyler Bacon
79,April Lu
93,Tom Doi
b,r,e,a,k
Lawless,14
teamInfo,,"Phoenix, Arizona",,,https://twitter.com/ArizonaLawless
coaches,John Patinella
02,Andrew Kohl
