2024 USA Ultimate Club Championships,Club - Men ,24,10,2024
San Diego,CA,2024-10-24,2024-10-27
https://play.usaultimate.org/events/2024-USA-Ultimate-Club-Championships/schedule/Men/Club-Men/
PoNY,10
teamInfo,,"New York, New York",,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
coaches,Cody Mills,Isaac Saul
02,Michael Campanella
04,Benjamin Jagt
05,Joshua Stevens-Stein
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Shashank Alladi
11,Jeffrey Holm
13,Evan Padget
17,Benjamin Katz
18,Calvin Brown
21,Vinay Valsaraj
23,Jimmy Mickle
24,Cameron Wariner
25,Drew Schnaudigel
28,Jeff Zhao
31,Chris Kocher
34,John Randolph
37,Liam Haberfield
44,Scott Heyman
47,Conrad Schloer
64,Benjamin Levy
66,Jibran Mieser
80,Antoine Davis
81,Sean Mott
82,Marques Brownlee
b,r,e,a,k
Sockeye,8
teamInfo,,"Seattle, Washington",https://www.seattlesockeye.org/,https://www.facebook.com/SeattleSockeye/,https://twitter.com/SeattleSockeye/
coaches,Zack Smith,Benjamin Wiggins,Craig Harkey
01,Manuel Eckert
02,Brice Dixon
03,Mitch  Kulczak
05,Elijah Diamond
06,Ryan Shigley
08,Max Ramstad
09,Spencer Lofink
10,Dongyang Chen
12,Garrett Martin
13,Phil Murray
15,Geoffrey Tucker Kalmus
16,Trent Dillon
18,Chackgarin Brown
19,Stanley Birdsong
20,Jasper Dean
21,Lucas Chen
22,Declan Miller
23,Xander Cuizon Tice
24,Daniel Chen
28,Grant Harris
32,Cedar Hines
41,Max Gade
55,Parker Howard
66,Ocean Hines
90,Shane Worthington
96,Asher Lantz
b,r,e,a,k
Chicago Machine,1
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,James Highsmith,Alex Champe,Dan Donovan
0,Wilson Matthews
01,Andrew Sjogren
04,Henry Goldenberg
05,Johnny Bansfield
06,Walt Jansen
07,Jack Shanahan
10,Victor Luo
11,Nathan Goff
12,Kyle Rutledge
13,Benjamin Preiss
14,Jake Steslicki
17,Keegan North
18,Jeffrey Gao
19,Paul Arters
23,Xavier Payne
24,Jacob Bruner
27,Daan De Marrée
31,Walden Nelson
54,John Lithio
55,Pawel Janas
61,Raymond Lu
71,Malik Auger-Semmar
74,Luke Brennan
77,William Wettengel
88,Tim Schoch
91,Joe White
b,r,e,a,k
Raleigh-Durham United,14
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
coaches,Augie Kreivenas
01,Terrence Mitchell
02,Bailey Laberteaux
03,Myles Grady
04,Houston Parks
05,Samuel Good
06,Henri Lessard
07,Colin White
08,Cam Bellando
10,Jacob Louie
11,Luke Duan
12,William Coffin
13,John Wellers
14,Brayden Morrison
22,Angelo Olcese
23,Gavin Russell
34,Luke Huffman
42,Christopher Nelson
