2024 Mid-Atlantic Men's Regional Championship,Club - Men ,21,9,2024
Frederica,DE,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Mid-Atlantic-Mens-Regional-Championship/schedule/Men/Club-Men/
Truck Stop,1
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/TruckStopUltimate/,https://twitter.com/truckstopulti
coaches,Alexander Crew,Lauren Boyle
0,Charles McCutcheon
0,Frederick Farah
0,Gus Norrbom
0,Isaac Lee
0,Jeff Wodatch
3,Alexandre Fall
4,Benjamin Greenberg
5,AJ Merriman
5,David Cranston
7,Cole Jurek
8,Thomas Edmonds
8,Troy Holland
10,Tyler Monroe
17,Moussa Dia
18,Kevin Healey
22,Elliot Bonnet
24,Jacques Nissen
29,Christian Johnson
30,Christian Boxley
30,David Bloodgood
30,Luke Rehfuss
32,Andrew Roy
37,Miles Grovic
53,Jonny Malks
57,Jasper Tom
92,Jace Dean
b,r,e,a,k
Town Hall Stars,8
teamInfo,,"College Park, Maryland",,,
0,Adam Weiss
0,Adel Al-Awadhi
0,Christopher Leung
0,Ethan Lay
0,Grant Simons
0,Jack Hermann
0,Ben Slade
0,Koushik Thiyagarajan
0,Kyle Williamson
0,Max Cassell
0,Ryan Low
0,Theodore Kerr
0,Tom Noll
2,Jacob  Sheedy
4,Benjamin Andersen-Taylor
6,Jonathan Gong
6,Liam Allen
8,Joel Maiman
15,Vincent Zhong
16,Thomas Maloney
17,Aaron Knishkowy
22,Adam Reed
25,Aaron Lavitsky
28,Matthew Thornton
32,Austin Chau
99,John Walden
b,r,e,a,k
Rumspringa,13
teamInfo,,"Virginville, Pennsylvania",,,
0,Dustin Sullivan
0,Dustin Damiano
0,Greg Martin
0,Greg Esser
0,Jack Wisner
0,Jameson Hinkle
0,Andrew Landes
0,Kyle Wolf
0,Marc Sands
0,Matt Esser
0,Owen Thomas
0,Paul Klimkowski
0,Samuel Esser
0,Steve Rosso
0,Vincent Reydams
6,Will Hoehne
7,David Boyer
8,Luke Ryan
13,Jared Seyler
25,Trey (George) Katzenbach
27,Jeff George
29,Red Redderson
