TCT Elite-Select Challenge 2024,Club - Mixed ,17,8,2024
Indianapolis,IN,2024-08-17,2024-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2024/schedule/Mixed/Club-Mixed
Tower,7
Mischief,'Shine,12,15,"08/17/2024, 09:00",Pool C,Final
Seattle Mixtape,The Chad Larson Experience,15,7,"08/17/2024, 09:00",Pool C,Final
Mischief,The Chad Larson Experience,15,1,"08/17/2024, 12:40",Pool C,Final
Seattle Mixtape,'Shine,10,8,"08/17/2024, 12:40",Pool C,Final
Mischief,Seattle Mixtape,12,11,"08/17/2024, 14:30",Pool C,Final
'Shine,The Chad Larson Experience,14,7,"08/17/2024, 14:30",Pool C,Final
pool,Pool D
Sprocket,Storm,12,5,"08/17/2024, 09:00",Pool D,Final
Lawless,Loco,13,9,"08/17/2024, 09:00",Pool D,Final
Sprocket,Loco,15,8,"08/17/2024, 10:50",Pool D,Final
Lawless,Storm,8,12,"08/17/2024, 10:50",Pool D,Final
Sprocket,Lawless,12,11,"08/17/2024, 14:30",Pool D,Final
Storm,Loco,7,10,"08/17/2024, 14:30",Pool D,Final
b,r,e,a,k
brackets,ESC Championship
bracket,Championship
Sprocket,Drag'n Thrust,3,7,"08/18/2024, 13:30",Final,In Progress
Tower,Sprocket,14,15,"08/18/2024, 11:40",Semifinals,Final
Seattle Mixtape,Drag'n Thrust,11,13,"08/18/2024, 11:40",Semifinals,Final
Tower,Rally,14,7,"08/18/2024, 09:50",Quarterfinals,Final
'Shine,Sprocket,12,13,"08/18/2024, 09:50",Quarterfinals,Final
Seattle Mixtape,Storm,15,11,"08/18/2024, 08:00",Quarterfinals,Final
Drag'n Thrust,NOISE,15,4,"08/18/2024, 08:00",Quarterfinals,Final
b,r,e,a,k
brackets,ESC Placement Brackets
bracket,Third Place
Tower,Seattle Mixtape,5,7,"08/18/2024, 13:30",Third Place,In Progress
bracket,Fifth Place Bracket
'Shine,Storm,7,8,"08/18/2024, 13:30",Fifth Place,In Progress
Rally,'Shine,7,15,"08/18/2024, 11:40",Fifth Semifinals,Final
Storm,NOISE,15,8,"08/18/2024, 11:40",Fifth Semifinals,Final
bracket,Seventh Place
Rally,NOISE,7,5,"08/18/2024, 13:30",Seventh Place,In Progress
bracket,Ninth Place Bracket
Mischief,Public Enemy,15,10,"08/18/2024, 11:40",Ninth Place,Final
Love Tractor,Mischief,8,11,"08/18/2024, 09:50",Ninth Semifinals,Final
Lawless,Public Enemy,12,13,"08/18/2024, 09:50",Ninth Semifinals,Final
Love Tractor,Chicago Parlay,13,12,"08/18/2024, 08:00",Ninth Quarterfinals,Final
Loco,Mischief,7,12,"08/18/2024, 08:00",Ninth Quarterfinals,Final
Lawless,The Chad Larson Experience,15,9,"08/18/2024, 08:00",Ninth Quarterfinals,Final
Townies,Public Enemy,11,14,"08/18/2024, 08:00",Ninth Quarterfinals,Final
bracket,Eleventh Place
Love Tractor,Lawless,12,13,"08/18/2024, 11:40",Eleventh Place,Final
bracket,Thirteenth Place Bracket
Loco,Townies,14,11,"08/18/2024, 11:40",Thirteenth,Final
Chicago Parlay,Loco,9,10,"08/18/2024, 09:50",Thirteenth Semifinals,Final
The Chad Larson Experience,Townies,8,13,"08/18/2024, 09:50",Thirteenth Semifinals,Final
bracket,Fifteenth Place
Chicago Parlay,The Chad Larson Experience,10,8,"08/18/2024, 11:40",Fifteenth,Final
b,r,e,a,k
