Burple Valley IV,college-open,30,4,2005
Williamstown,MA,2005-04-30,2005-05-01
https://scorereport.net/2005/college-open/event1265
Dartmouth-B
b,r,e,a,k
Skidmore-B
b,r,e,a,k
Hampshire
b,r,e,a,k
Williams-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Dartmouth-B,Skidmore-B,8,11,"04/30/2005, 00:00",Pool A,final
Dartmouth-B,Hampshire,11,7,"04/30/2005, 00:00",Pool A,final
Williams-B,Dartmouth-B,8,11,"04/30/2005, 00:00",Pool A,final
Williams-B,Dartmouth-B,7,8,"04/30/2005, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
bracket,Bracket
bracket,Bracket
b,r,e,a,k
