College Schmollege Taco Bowl,college-open,2,4,2005
Albany,NY,2005-04-02,2005-04-03
https://scorereport.net/2005/college-open/event1256
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
b,r,e,a,k
