Sunny Day Duel,college-open,2,4,2005
Searcy,AR,2005-04-02,2005-04-02
https://scorereport.net/2005/college-open/event1378
Harding
b,r,e,a,k
Central Arkansas
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Harding,Central Arkansas,15,4,"04/02/2005, 00:00",Bracket,final
Harding,Central Arkansas,15,4,"04/02/2005, 00:00",Bracket,final
b,r,e,a,k
