Little Rock Metro Area Championship,college-open,29,1,2005
Conway,AR,2005-01-29,2005-01-29
https://scorereport.net/2005/college-open/event1177
Harding
b,r,e,a,k
Central Arkansas
b,r,e,a,k
Hendrix
b,r,e,a,k
Harding-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Harding,Central Arkansas,13,4,"01/29/2005, 09:00",Pool A,final
Hendrix,Harding-B,10,6,"01/29/2005, 09:00",Pool A,final
Harding,Harding-B,13,5,"01/29/2005, 11:15",Pool A,final
Hendrix,Central Arkansas,13,10,"01/29/2005, 11:15",Pool A,final
Harding,Hendrix,13,7,"01/29/2005, 13:30",Pool A,final
Central Arkansas,Harding-B,13,8,"01/29/2005, 13:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
