Colorado Cup (TCT Elite-Select Challenge),Club - Women ,2,8,2014
Aurora,CO,2014-08-02,2014-08-03
https://play.usaultimate.org/events/Colorado-Cup-TCT-Elite-Select-Challenge/schedule/Women/Club-Women/
Molly Brown,1
teamInfo,,"Denver/Boulder, Colorado",http://www.mollybrownultimate.com/,https://www.facebook.com/MollyBrownTown,https://twitter.com/MollyBrownTown
3,Maggie Chen
7,Paige Applegate
8,Lisa Doan
10,Lindsey Cross
11,Dena Slattery
12,CLAIRE HENLY
13,Christina McDowell
15,Dorothe Franklin
16,Megan Cousins
18,STEPHANIE FROST
19,Christina Mickle
20,Emily Stege
21,Kristina Snodgrass
22,SHANNON WAUGH
23,Lauren Boyle
24,Lisi Lohre
27,Lauren Baecher
28,Sally Lambert
29,Anna Updyke
32,Christy Cheung
33,Jana Krutsinger
42,Carolyn Matthews
52,Claire Chastain
80,Jean Russell
b,r,e,a,k
Underground,9
teamInfo,,"Seattle, Washington",http://seattleunderground.wordpress.com/,https://www.facebook.com/SeattleUnderground,
coaches,Frank Nam
0,AnnaMaria Pape
0,Margaret Quinn
0,Lindsey Wilson
0,Trudy Philip
0,KALEY BENDER
0,Kimberly Tee
0,KATIE SILVERIA
0,Noel Hanzel
0,EDEN MARSICEK
0,Molly Sinnott
0,ELAINE LEUNG
0,Ashley Chan
0,Eva Fury
0,Jess Smith
0,Erica Petru
0,Julia Bladin
4,Amy Lee
17,Adrienne Lemberger
21,Alex Fussell
21,Nicola Bruce
22,JAZMINE CANEZ
23,Anh-Thu Chang
47,Alyssa Kelly
50,Heather Ann Brauer
81,Lani Nguyen
b,r,e,a,k
Nova,8
teamInfo,,"Montreal, Quebec CA",http://ultimatefemininmontreal.com/equipes/nova/,https://www.facebook.com/NovaWomenUltimate,https://twitter.com/NovaUltimate1
0,Vaylen Petrella
0,Rachel Beauchemin
0,RACHEL ROBICHAUD
0,Johanna Elias
0,Andrea Maxie
0,JULIA COTTLE
0,VERONIQUE POMERLEAU
4,Jooeun Lee
11,VERONIQUE RIOPEL
12,KELLY CARBONNEAU
14,Marie Genest
16,Corine Masse
17,FREDERIQUE DESBIENS BLAIS
21,EMILIE ST-PIERRE
22,AUDREY ST-ARNAUD
24,Sandra Williams
27,Melanie Prescott-Gagnon
31,CATHERINE VIAU
32,COURTNEY WHITE
40,Jacqueline Feil
41,Kimberly Morin Coulombe
42,Helen Thompson
44,Gabrielle Germain-Tremblay
45,Annne Sophie Lenglet
52,Elizabeth Limoges Bourgault
b,r,e,a,k
Encore,16
teamInfo,,"Nashville, Tennessee",,,
0,"Christina ""Flex"" Effertz"
0,Nora Hoover
0,Amy Reed
0,Jessi Norman
0,Kayla Ferguson
0,Tobey Balzer
0,Nelly Fickett
0,Sara Gibson
0,SHELLEY DUBOIS
0,Stephanie Stanley
0,Kera Bergeron
2,Jin-Mi Matsunaga
9,Jackie Sullivan
11,CAYCEE ELLIS
12,Colleen Wright
20,Ashton Wollett
22,Haley Tranum
44,Samantha Hill
51,Kay Powell
b,r,e,a,k
Heist,10
teamInfo,,"Madison, Wisconsin",http://heistultimate.wordpress.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
