Boston Invitational,Club - Men ,21,6,2014
Devens,MA,2014-06-21,2014-06-22
https://play.usaultimate.org/events/Boston-Invitational/schedule/Men/Club-Men/
Dark or Light,1
28,PATRICK LAROUCHE
61,ERIC LAFRANCE
71,PIERRE-BENOÃ®T ALLARD
85,MARTIN FORGET
b,r,e,a,k
Ryanside,11
teamInfo,,"Boston, Massachusetts",,,
0,ANDREW BAILEY
0,Ryan Holmes
0,Benjamin Tseytlin
0,Jon Schneyer
0,DAVID DIBIASE
0,DAVID LUNETTA
0,Jackson Barron
0,CHRISTOPHER GARRON
0,NICK GREENWOOD
0,JEFFREY STEEVES
0,JOHN BARKER
0,Wesley Johnson
0,Giancarlo Cincotta
3,Elliot Lee
6,MICHAEL MICUCCI
15,Sam Greenwood
20,Tom Bassett
23,Alexander  Burgun-Tower
30,Lucas Johnson
b,r,e,a,k
Dire Wolf,5
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Vivek Devaraj
0,Scott Trimble
0,JARED MANZO
0,Andrew Willig
0,ADAM KNOWLTON
0,AARON KANE
0,MASON STRAWSER
0,ALLEN RAKERS
0,Aaron Weiss
0,Karl Nagy
0,CHRISTOPHER GATTI
0,Tad Wissel
0,Michael Pannone
4,Ben Banyas
8,Jeremy Kanter
8,Nicholas Audette
11,Jeff Truskin
13,Brice Dunn
13,Jesse Kummer
18,Jed Farber
24,Alexander Thomas
25,Marcus Thaw
32,Steven Mogielski
84,Dave Angeletti
b,r,e,a,k
Night's Watch,4
teamInfo,,"Cromwell, Connecticut",,,
0,LOCK WHITNEY
0,Toussaint Careathers
1,Bryan Forman
2,BRIAN MCLAUGHLIN
4,Michael Caruso
5,Dwight Harris
7,Todd Larese
9,Maxwell Langevin
10,Andrew Edelman
11,Jacob Arwe
12,Gregory Burns
15,Juleon Robinson
20,Owen Mayer
24,Jordan Revis
25,Richard McFadden
25,Patrick Laramee
28,Ben Weyers
29,Daniel Gempesaw
31,John Wodatch
33,Brian Varis
34,Timmer Farrell
37,David Griffin
49,Maxwell Perham
50,Brendan Loyot
66,Garrett Santi
77,Tyler Finkler
81,Alex Morrone
99,Karl Ekwurtzel
b,r,e,a,k
Bruises,13
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
01,Anthony Bevilacqua
08,BRIAN BEAULIEU
09,JOSH BEAULIEU
11,Patrick Collins
15,Craig Bunce
16,Bryant Wolf
21,JASON WESTGATE
23,Andy Fleming
34,Alex Jong
55,Benjamin Naismith
63,Victor Zhivich
66,TOM LALUMIERE
67,PETER MCGINN
85,Travis Ellyson
99,Brendan Blaney
99,Andrew Zaccardi
99,AJ Hutchins
99,Jason Freedman
99,Alec Parzych
99,Ethan Fortin
99,BRENDAN NICHOLS
99,Erik James
99,ERIC RATHBUN
99,Adam Logan
99,Hansen Yang
b,r,e,a,k
Youngbloods,12
teamInfo,,"New York, New York",,,
0,GREGORY SOMERVILLE
0,Craig Hoeksema
0,Taylor Rasco
0,Bradley Benjamin
0,Nathan Arnosti
0,Bennett Taren
0,Ian Guerin
0,Max Cohen
0,Evan Ma
0,Rohith Rao
0,Andrew Schwartz
0,Ellis Kim
0,Daniel Eppstein
10,Brandon Contarsy
11,Stefan Dicker
13,Jay Sehgal
52,Ian Erly
74,SHAYNE FLAHERTY
b,r,e,a,k
Red Tide Black,32
teamInfo,,"Portland, Maine",http://redtideultimate.com/,,
0,Justin Fereshetian
0,Scott Moody
0,Carter Milliken
0,Ethan Taylor
0,Matthew Silverman
0,Alexander Rosati
0,PAUL FRANKLIN
4,Jordan Richmond
27,Jonathan Phillips
31,Neil Franklin
34,Cameron Jack
45,Henry Briggs
91,Jacob Shillue
b,r,e,a,k
Providence Pack Dogs,17
teamInfo,,"Providence, Rhode Island",,,
0,Benjamin Bauer
0,Sean Blake
0,Aron Lesser
0,MARK ST. LOUIS
0,Eric Tierney
0,Max Fuller
0,Isaac MacDonald
0,Gabriel Lesser
27,Ezra Lichtman
77,Matthew Wong
b,r,e,a,k
Magma,25
teamInfo,,"Montréal, Quebec CA",,,
0,VINCENT SAUVÃ©
0,NICHOLAS FABEL
0,JULIEN POITRAS PLANTE
0,FRANçOIS DAGENAIS
0,Virath Chamroeun
0,Simon Charette
0,Martin Plasse
0,Gabriel St-Jean Timmins
0,DANIEL BARRETTE-LAPIERRE
0,Simon Vervaet
0,FRANCIS MARTEL
0,Charles-Olivier Simard
3,PIERRE-LUC LANDRY
6,GUILLAUME TREMBLAY
24,LOUIS-FRANCIS RATTE-BOULIANNE
26,Dany Cote
29,Simon Ayotte
87,Philippe Poitras
b,r,e,a,k
Selección Colombia U17 Boys,24
teamInfo,,"-, - CO",,,
03,William Carrillo
06,Jerónimo Perea
07,Santiago Avila
12,Daniel Josué Díaz
13,Juan Manuel Cortés
14,Manuel Candamil
15,Nicolás Esteban Muñoz
17,Francisco Javier Escobar
26,Edgar Fernando  Barrios
33,Juan José Ramírez Cuellar
37,Rafael Sathya Weiskopf
69,Mateo Marulanda
70,Luis Miguel  Medina
81,Andrés  Ramírez
89,Cristian Camilo Ariza
b,r,e,a,k
NSOM,23
teamInfo,,"Montreal, Quebec CA",https://www.nsomultimate.com,https://www.facebook.com/nsomultimate,https://twitter.com/NSOMultimate
01,STEFAN AEBI
04,Daron Byerly
05,Luc Drouin
06,ERIC DESROSIERS
09,PATRICK GRATTON
11,STEPHANE PAYEUR
16,FREDERICK GUAY
18,MINH DAT LAM
21,ERIK BELANGER
22,SACHA LOUTFI
23,FRANCOIS LANOUETTE
25,Christian Monette
28,PATRICK FRENETTE
29,JEAN-FRANCOIS PAUL
37,RAYNALD NEMOURS
69,Hicham Laaouan
73,Jean-Francois Trudel
77,BENOIT DUHAMEL
93,Yan Bouchard
b,r,e,a,k
The Watchmen,18
teamInfo,,"Southington, Connecticut",,,
0,Holland Florian
0,Patrick Byrne
0,Joseph Stadel
0,William Cordes
0,Jeffrey Adams
0,Lucas Giaco Robert Corsiglia
0,Owen Marschall
0,Ryan Baldassario
0,MATTHEW BOLLARO
0,Jacob Aldrich
2,Ryan Kerr
2,Andrew Thai
4,Nick DiOrio
7,Ricky Lewandowski
9,Matthew Luk
9,Michael Moulthrop
24,Nitesh Desai
27,Andrew Baldassarre
47,Robbie Kohler
55,Theodore Weisman
b,r,e,a,k
Westchester Magma Bears,31
teamInfo,,"Yorktown Heights, New York",,,
0,Christopher Novielli
0,Alex Jayakar
0,Michael O'Brien
0,James Friscia
0,Michael Harvey
0,Andrew Purugganan
0,William Strauss
0,Eli Cohen
0,COLEMAN STOLTZE
0,GREGORY SHANNON
0,Christopher Losapio
0,GREG KITCHIN
0,Anton Boutkov
1,Sam Landesberg
4,Darren McAuliffe
17,Kevin O'Brien
17,John Walsh
18,John Brancato
25,Emmett Blau
33,Andy Mogenson
77,Frank Tobitsch
80,Christopher Cruz
b,r,e,a,k
Juggalos Against Illuminati Leadership,26
teamInfo,,"Somerville, Massachusetts",,,
0,MATT LONG
0,Raphael Parens
0,JOHN ROMANO
0,BRADLEY OOSTERVELD
7,Torsten Johnson
22,Kevin O'Brien
69,Jon Atkins
69,MARC BUCCHIERI
69,Skyler Tom
69,CHARLES YI
69,EVAN FERBER
69,DOUG DAVIS
70,DAVID  KHEYMAN
77,Walton (Yuito) Lee
82,ADAM ZIEBA
97,Max Goder-Reiser
b,r,e,a,k
Demon,27
teamInfo,,"Montreal, Quebec CA",,,
0,Antoine Lepagnol
0,DMITRI FEDOROV
0,Frédéric  Lapierre 
0,BENOIT RIENDEAU
0,ALEXANDRE LEDUC
0,Mathieu Boisvert-Désilets
08,Philippe Camire
09,Philip Jacob-Frigon
09,DAINIS KALDRE
11,DANY GERMAIN
11,FELIX MIRON
16,Benjamin Metivier
17,Timmy Woo
26,Thomas Duplaix
47,PATRICK VIGNEAULT
50,Roudy Parenteau
64,Charles Letourneau Berger
77,JEAN-FRANCOIS BOURQUE
79,BLAISE GAUVIN ST-DENIS
81,MAXIME PINEAULT
b,r,e,a,k
Lone Wolves,19
teamInfo,,"Rochester, New York",,,
0,Eric Beier
0,JEFFREY COLBY
0,Matt Bandes
0,Trevor Smith
0,Christopher Wong
0,RYAN GARDNER
0,Drew Tschetter
0,ALEXANDER NEE
0,THOMAS RZATKIEWICZ
07,Kelly Moses
18,KEVIN FARRELL
19,KESAVAN YOGESWARAN
21,CARTER MIDDLETON
21,Samuel Carletta
22,PATRICK COST
23,Nathan Freeman
33,Jeff Diduro
44,ANTHONY MONESCALCHI
45,Christopher Dawson
b,r,e,a,k
Flashback,22
teamInfo,,"Portsmouth, New Hampshire",,,
0,Joe Paradis
0,ELIAS MCQUAID
0,David Polyak
0,Jonathan Palmer
0,GARREN HILOW
0,Eliot Desilva
0,GREG ALOE
0,Marc Flore
0,Christopher Lee
0,Greg Castanon
0,SAMUEL THOMPSON
0,GERHARD SAAS
0,Joel Pitney
0,Evan Hardcastle
0,MATT TAYLOR
0,Nathan Manzer
0,RANDY HALL
0,DOUG KENNEDY
0,CHRIS CAMPBELL
0,NATHAN OLSON
2,Simon Stone
11,Christopher Mollomo
11,Philip Arets
17,JOHN STONE
23,Patrick (Food) O'Day
29,Timothy Harvey
75,Matthew Anderson
91,GEOFF WHITEHEAD
b,r,e,a,k
The Skyentists,30
teamInfo,,"Trumbull, Connecticut",,,
0,Dan Samson
00,Jonathan Collins
05,Michael Schriefer
09,Tucker McMullin
11,Matt Seferian
14,Carlos Loaiza
18,Mark Nixon
26,Dan Regan
29,ANDREW JEFFERY
77,Michael Casey
b,r,e,a,k
Pat's,20
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Kevin Liu
0,Doug Roman
0,William Sickles
0,Kyle Bradley
0,NATHAN SINGLETON
0,JASON STEWART
0,Brendan Quann
0,AARON HEATH
0,Robert Catzen
0,MAX ZILBERMAN
0,Daniel Hartsoe
0,John Lee
0,Darryl Stanley
4,THOMAS FLYNN
6,Jeremy Fus
8,Nick Patel
13,Greg Mohler
14,Stuart Hean
29,Chris Vanni
88,ALEXANDER HAYNES
b,r,e,a,k
Magma 2,28
teamInfo,,"Montréal, Quebec CA",,,
0,Francois Duchesneau
0,DANIEL SARRASIN
0,Pierre James Rouzier
0,Vincent Dumas
0,Frédéric Lemieux
0,Mathieu Fontaine
0,MICHAEL ARSENEAULT
0,ALEX VALLERAND
0,Edouard Levesque
0,MARC LANGLOIS
0,LOUIS-PHILIPPE CAMIRAND-CONTANT
4,Marc-André Duchesneau
11,PIERRE-PAUL CHAMPAGNE
16,Tobi Gauthier Beaudoin
79,Philippe Leduc
86,FRANCOIS-OLIVIER LANDRY
88,OLIVIER THIBAUDEAU
91,Christian Painchaud
b,r,e,a,k
Birds of Pray,29
teamInfo,,"Chestnut Hill, Massachusetts",,,
0,Adam Kafka
6,Michael Dillon
10,ERIK HARVEY
11,DYLAN WOLFF
12,Colin Maneval
15,Bryan Finney
23,JOSH BABBIN
39,ZACH BARON
42,Patrick Jerome
43,CHRISTIAN AUSTIN
69,Anthony Lamanna
99,MICHAEL (MIKE) KENSLEA
b,r,e,a,k
No Country,21
teamInfo,,"Brattleboro, Vermont",,,
0,JONATHAN LIPSKY
0,Jim Biancolo
0,Alec Ewald
0,Daniel Sage
0,James  Olson
0,Fritz Burkhardt
0,Joel Thompson
0,Michael Friedland
0,Marshall Goff
0,Thomas Glass
0,Eric Olson
0,CHRIS LEHNER
0,Patrick Trevino
1,Alex De Frondeville
7,Stephen Finn
13,Jed Geary
19,Jon Bakija
22,Arnold Sanchez
33,Steven Dugan
34,Jeff Brown
71,Lawrence (Larry) David
88,James (Jim) Parinella
b,r,e,a,k
s,t,a,g,e,s
pools,Elite
pool,Pool A
Dark or Light,Phoenix,15,13,"06/21/2014, 09:00",Pool A,Final
Geno's,Stonefish,15,11,"06/21/2014, 09:00",Pool A,Final
Dark or Light,Stonefish,15,6,"06/21/2014, 11:00",Pool A,Final
Geno's,Phoenix,14,13,"06/21/2014, 11:00",Pool A,Final
Dark or Light,Geno's,15,10,"06/21/2014, 13:00",Pool A,Final
Phoenix,Stonefish,15,9,"06/21/2014, 13:00",Pool A,Final
pool,Pool B
Garuda,Medicine Men,15,13,"06/21/2014, 09:00",Pool B,Final
Garden State Ultimate,Red Tide,15,11,"06/21/2014, 09:00",Pool B,Final
Garuda,Red Tide,15,5,"06/21/2014, 11:00",Pool B,Final
Garden State Ultimate,Medicine Men,14,16,"06/21/2014, 11:00",Pool B,Final
Garuda,Garden State Ultimate,15,13,"06/21/2014, 15:00",Pool B,Final
Medicine Men,Red Tide,15,12,"06/21/2014, 15:00",Pool B,Final
pool,Pool C
Quake,Ryanside,15,11,"06/21/2014, 09:00",Pool C,Final
Big Wrench,Red Circus,15,12,"06/21/2014, 09:00",Pool C,Final
Quake,Red Circus,12,15,"06/21/2014, 11:00",Pool C,Final
Big Wrench,Ryanside,15,9,"06/21/2014, 11:00",Pool C,Final
Quake,Big Wrench,8,15,"06/21/2014, 13:00",Pool C,Final
Ryanside,Red Circus,14,16,"06/21/2014, 13:00",Pool C,Final
pool,Pool D
Night's Watch,Youngbloods,15,5,"06/21/2014, 09:00",Pool D,Final
Dire Wolf,Bruises,15,6,"06/21/2014, 09:00",Pool D,Final
Night's Watch,Bruises,13,15,"06/21/2014, 11:00",Pool D,Final
Dire Wolf,Youngbloods,15,11,"06/21/2014, 11:00",Pool D,Final
Night's Watch,Dire Wolf,10,15,"06/21/2014, 15:00",Pool D,Final
Youngbloods,Bruises,15,13,"06/21/2014, 15:00",Pool D,Final
b,r,e,a,k
pools,Easterns
pool,Pool E
Providence Pack Dogs,Magma,15,12,"06/21/2014, 09:00",Pool E,Final
Selección Colombia U17 Boys,Red Tide Black,9,15,"06/21/2014, 09:00",Pool E,Final
Providence Pack Dogs,Red Tide Black,4,15,"06/21/2014, 13:00",Pool E,Final
Selección Colombia U17 Boys,Magma,6,15,"06/21/2014, 13:00",Pool E,Final
Providence Pack Dogs,Selección Colombia U17 Boys,15,9,"06/21/2014, 15:00",Pool E,Final
Magma,Red Tide Black,10,15,"06/21/2014, 15:00",Pool E,Final
pool,Pool F
The Watchmen,Juggalos Against Illuminati Leadership,15,9,"06/21/2014, 11:00",Pool F,Final
NSOM,Westchester Magma Bears,15,10,"06/21/2014, 11:00",Pool F,Final
The Watchmen,Westchester Magma Bears,9,12,"06/21/2014, 13:00",Pool F,Final
NSOM,Juggalos Against Illuminati Leadership,15,6,"06/21/2014, 13:00",Pool F,Final
The Watchmen,NSOM,8,15,"06/21/2014, 15:00",Pool F,Final
Juggalos Against Illuminati Leadership,Westchester Magma Bears,13,12,"06/21/2014, 15:00",Pool F,Final
pool,Pool G
Lone Wolves,Demon,9,15,"06/21/2014, 09:00",Pool G,Final
Flashback,The Skyentists,15,1,"06/21/2014, 09:00",Pool G,Final
Lone Wolves,The Skyentists,15,4,"06/21/2014, 13:00",Pool G,Final
Flashback,Demon,6,15,"06/21/2014, 13:00",Pool G,Final
Lone Wolves,Flashback,15,12,"06/21/2014, 15:00",Pool G,Final
Demon,The Skyentists,15,1,"06/21/2014, 15:00",Pool G,Final
pool,Pool H
Pat's,Magma 2,15,12,"06/21/2014, 11:00",Pool H,Final
No Country,Birds of Pray,13,15,"06/21/2014, 11:00",Pool H,Final
Pat's,Birds of Pray,15,9,"06/21/2014, 13:00",Pool H,Final
No Country,Magma 2,11,15,"06/21/2014, 13:00",Pool H,Final
Pat's,No Country,15,8,"06/21/2014, 15:00",Pool H,Final
Magma 2,Birds of Pray,15,10,"06/21/2014, 15:00",Pool H,Final
b,r,e,a,k
clusters,Reseeding
cluster,Elite Games
Dark or Light,Big Wrench,15,5,"06/21/2014, 17:00",,Final
Garuda,Dire Wolf,16,14,"06/21/2014, 17:00",,Final
cluster,Easterns III
Magma,The Skyentists,15,9,"06/21/2014, 17:00",,Final
Juggalos Against Illuminati Leadership,No Country,L,W,"06/21/2014, 17:00",,Final
b,r,e,a,k
brackets,Elite Brackets
bracket,5th Place
Dark or Light,Dire Wolf,6,15,"06/22/2014, 11:00",Semis,Final
Night's Watch,Garuda,12,14,"06/22/2014, 11:00",Semis,Final
Dire Wolf,Garuda,1,0,"06/22/2014, 15:00",5th Place,Final
bracket,7th Place
Dark or Light,Night's Watch,0,1,"06/22/2014, 15:00",7th Place,Final
b,r,e,a,k
brackets,Easterns I Brackets
bracket,11th Place
Bruises,Garden State Ultimate,8,15,"06/22/2014, 15:00",11th Place,Final
bracket,13th Place
Red Circus,Pat's,17,15,"06/22/2014, 13:00",Semis,Final
Demon,NSOM,0,15,"06/22/2014, 13:00",Semis,Final
Red Circus,NSOM,0,1,"06/22/2014, 15:00",13th Place,Final
bracket,15th Place
Pat's,Demon,8,0,"06/22/2014, 15:00",15th Place,Final
b,r,e,a,k
brackets,Easterns II Brackets
bracket,Easterns II Championship
Red Tide,Providence Pack Dogs,0,0,"06/22/2014, 15:00",Championship (17th Place),Scheduled
The Watchmen,Birds of Pray,13,15,"06/21/2014, 17:00",Pre-Quarters,Final
Lone Wolves,Selección Colombia U17 Boys,15,13,"06/21/2014, 17:00",Pre-Quarters,Final
Magma 2,Westchester Magma Bears,15,11,"06/21/2014, 17:00",Pre-Quarters,Final
Providence Pack Dogs,Flashback,15,10,"06/21/2014, 17:00",Pre-Quarters,Final
Red Tide,Birds of Pray,15,13,"06/22/2014, 11:00",Quarters,Final
Ryanside,Lone Wolves,15,10,"06/22/2014, 11:00",Quarters,Final
Youngbloods,Magma 2,15,2,"06/22/2014, 11:00",Quarters,Final
Stonefish,Providence Pack Dogs,12,15,"06/22/2014, 11:00",Quarters,Final
Red Tide,Ryanside,1,0,"06/22/2014, 13:00",Semis,Final
Youngbloods,Providence Pack Dogs,7,15,"06/22/2014, 13:00",Semis,Final
bracket,19th Place
Ryanside,Youngbloods,0,0,"06/22/2014, 15:00",19th Place,Scheduled
bracket,23rd Place
b,r,e,a,k
brackets,Easterns III Brackets
bracket,29th Place
No Country,The Skyentists,1,0,"06/22/2014, 11:00",Semis,Final
Juggalos Against Illuminati Leadership,Selección Colombia U17 Boys,0,1,"06/22/2014, 11:00",Semis,Final
Selección Colombia U17 Boys,No Country,1,0,"06/22/2014, 13:00",29th Place,Final
b,r,e,a,k
