Tally Classic IX,College - Men ,8,3,2014
Tallahassee,FL,2014-03-08,2014-03-09
https://play.usaultimate.org/events/Tally-Classic-IX/schedule/Men/CollegeMen/
Florida State,1
teamInfo,DUF,"Tallahassee, Florida",modules/common/fsultimate.com,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
coaches,Peter van de Burgt,Matt Childs
01,Jason Holleran
02,Bobby Patterson
03,Andrew Roney
05,Thomas Mazza
06,MARCUS JOHNS
07,Clark Cofer
08,CHENTE ORTIZ
09,DAVID CROMER
10,JAMES KOERNER
11,LIAM RAWSON
12,WAYDE VOSS
13,Scotty Bohrer
14,Austin Bass
15,MORGAN STANLEY
16,ZACH WERNICK
17,JOSH PUTTBACH
18,Chris LaRocque
21,ZACHARY MAINES
22,Ryan MacFadyen
23,Peter Van Brussel
25,Cole Friedes
27,Connor Holcombe
28,Andrew Larocque
33,Kody Cotton
46,Brian Phillips
88,Scott Moore
99,Gabriel Bidot
b,r,e,a,k
Notre Dame,8
teamInfo,Papal Rage,"Notre Dame, Indiana",,,
00,Charles Labuz
00,Jordan Lange
00,Joseph Fisher
00,Steven Zurawski
00,KEITH PODGORSKI
00,ERICH KEREKES
00,Daniel Verzuh
00,Kyle Hill
00,MATTHEW FARRELL
00,William Hefferon
00,JONATHAN CERNANEC
00,DAVID TERRY
00,CONOR HANNEY
00,Jeremy Doyle
00,DANIEL KEREKES
00,Patrick McMahon
00,Jason Wassel
00,Joe Nolan
00,PATRICK HANSEN
00,PETER HALL
00,Jacob Scobey-Polacheck
b,r,e,a,k
Ohio State,9
teamInfo,Leadbelly,"Columbus, Ohio",modules/common/leadbellyultimate.com,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,BRENDAN O'GORMAN
01,Andrew Farrand
02,DAN ARTERS
03,KEVIN SMEARSOLL
04,Eric Schumacher
05,GARRETT MARKLEY
06,ETHAN SPADE
07,Cody Fox
08,Zachary Weaver
09,Ryan Kindell
10,RYAN KAST
11,DAVID ABOOD
13,Wilson Gardner
14,DUSTIN KLEIS
15,Ethan Stahlman
17,Ben Krumpelman
18,Amifred Williams
19,Paul Arters
20,Andrew Klarner
21,Zach Sieber
24,JEREMY MOSS
25,Dan Urbanek
26,Jon Simpson
35,Mitchell O'Connor
43,ALAN MCCLAIN
66,BRYAN BARRETT
88,Zach Peugh
99,NEAL HANIGAN
b,r,e,a,k
Mississippi State,16
teamInfo,Dark Horse,"Starkville, Mississippi",modules/common/www.msuultimate.com,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/MSU_Ultimate
02,Warren Hem
03,Mitchell Corder
06,Steven Powell
07,Jason Case
11,Jon Thomas Williams
24,KYLE MOORE
25,Jake Brouwer
27,RYAN CROSS
33,CHRISTOPHER COLLINS
35,Steven Cummings
