USA Ultimate National Championships,Club - Men ,16,10,2014
Frisco,TX,2014-10-16,2014-10-19
https://play.usaultimate.org/events/USA-Ultimate-National-Championships/schedule/Men/Club-Men/
Revolver,1
13,Matthew (Skip) Sewell
15,Nathan Castine
17,John Raynolds
18,Matthew Russell
20,Michael Caldwell
22,Spencer Wallis
23,Danny Karlinsky
24,Joe Sefton
26,SETH KOTZMAN
28,Duncan Linn
55,Will Chen
70,Julian Hausman
73,Kenneth Lim
99,Ray Illian
b,r,e,a,k
Temper,15
teamInfo,,"Pittsburgh, Pennsylvania",,,@pghtemper
coaches,STUART KELLNER,David Lionetti
02,CHRIS BRENENBORG
03,Patrick Earles
04,David Vatz
05,ALEC ASSAAD
07,Mark Fedorenko
08,Tyler Kunsa
09,Carl Morgenstern
10,Max Thorne
11,Nick Kaczmarek
12,KEVIN TANG
16,Trent Dillon
18,Michael Reeves
21,Robert Dulabon
23,Edward Peters
24,Sam Schurer
27,Anson Reppermund
28,Ethan Beardsley
29,Sam VanDusen
35,Jacob Christian
41,PATRICK HAMMONDS
42,Marcus Ranii-Dropcho
59,AARON WATSON
70,Alex Thorne
77,William Brotman
81,Tyler DeGirolamo
82,Joseph Bender
b,r,e,a,k
GOAT,10
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Scott Hastie
02,MIKE JONES
03,Andrew Carroll
04,Derek Alexander
07,KARL-FRéDéRICK LOISEAU
08,Morgan Hibbert
09,SCOTTY NICHOLLS
12,Remi Ojo
13,JONATHAN MARTIN
16,Philip Watanabe
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
23,TREVOR HENRY
28,Justin Foord
33,Aaron Liu
41,GORDON HARRISON
43,Andrew Ouchterlony
45,David Hochhalter
61,Sachin Raina
64,NIMA MOSTAGHIMI
74,RICKY SZETO
81,Adrian Yearwood
84,EAMONN PINTO
89,Mark Lloyd
91,Cameron Harris
b,r,e,a,k
Ring of Fire,6
teamInfo,,"Raleigh, North Carolina",,,
coaches,Michael Denardis
00,Ken Porter
01,Justin Allen
02,Hunter Taylor
03,Josh Mullen
04,DANIEL KANTOR
05,Taylor Pope
06,Ben Dieter
08,Terrence Mitchell
09,Kristjan Loorits
10,JARRETT BOWEN
11,DENNIS TARASI
12,Joey Cretella
13,Shane Sisco
14,Mark Evans
17,Brian Clark
18,Jacob McGoogan
21,Jonathan Nethercutt
22,Brian Casey
23,Micah Hood
24,Noah Saul
29,Christian Johnson
33,ROY MATTHEWS
34,Tristan Green
50,Josh Norris
51,Tim McAllister
54,Stephen Bender
79,Matt Bode
b,r,e,a,k
Johnny Bravo,5
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/pages/Johnny-Bravo-Ultimate/111884215492137?fref=nf,https://twitter.com/BravoUltimate
coaches,Bob Krier
02,Sean Keegan
03,Jesse Roehm
04,Andrew Mangan
05,Jack (John) McShane
06,Bart Watson
07,Kurt Gibson
08,Austin Gregersen
09,WILL LOKKE
10,C Ryan Morgan
11,Nicholas Lance
12,Tim Morrissy
13,Evan Padget
14,CRAIG FORSHEE
15,Dennison Bechis
16,RYAN FARRELL
19,Ian Toner
20,Joshua Ackley
21,Brodie Smith
22,Stanley Peterson
23,Jimmy Mickle
24,Jackson Kloor
26,Owen Westbrook
28,Hylke Snieder
34,Henry Konker
38,Matthew Farrell
45,Brett Matzuka
b,r,e,a,k
Ironside,4
teamInfo,,"Boston, Massachusetts",,,
coaches,Josh McCarthy
00,Jacob Taylor
01,Teddy Browar-Jarus
02,Brian Garcia
03,George Stubbs
04,Matt Rebholz
05,Josh Markette
07,William Neff
08,Alex Cooper
09,Misha Sidorsky
10,Rustin Ingold-Smith
11,Christian Foster
12,Alex Simmons
13,Brandon Malecek
14,Miles Montgomery-Butler
16,Jamie Quella
17,R. Thomas Sayre-McCord
18,Jim Foster
21,Misha Herscu
24,Mark Sherwood
25,John Stubbs
27,Jack Hatchett
