USA Ultimate National Championships,Club - Women ,16,10,2014
Frisco,TX,2014-10-16,2014-10-19
https://play.usaultimate.org/events/USA-Ultimate-National-Championships/schedule/Women/Club-Women/
Brute Squad,1
Riot,Green Means Go,15,6,"10/16/2014, 13:30",Pool B,Final
Nightlock,Heist,12,14,"10/16/2014, 13:30",Pool B,Final
Riot,Nightlock,14,4,"10/16/2014, 15:45",Pool B,Final
Heist,Green Means Go,15,14,"10/16/2014, 15:45",Pool B,Final
pool,Pool C
Fury,Showdown,14,11,"10/16/2014, 09:00",Pool C,Final
Traffic,Underground,15,7,"10/16/2014, 09:00",Pool C,Final
Fury,Underground,15,7,"10/16/2014, 13:30",Pool C,Final
Traffic,Showdown,13,12,"10/16/2014, 13:30",Pool C,Final
Fury,Traffic,11,8,"10/16/2014, 15:45",Pool C,Final
Showdown,Underground,12,11,"10/16/2014, 15:45",Pool C,Final
pool,Pool D
Scandal,Nemesis,15,3,"10/16/2014, 09:00",Pool D,Final
Molly Brown,Tabby Rosa,15,6,"10/16/2014, 09:00",Pool D,Final
Scandal,Tabby Rosa,15,8,"10/16/2014, 11:15",Pool D,Final
Molly Brown,Nemesis,14,13,"10/16/2014, 11:15",Pool D,Final
Scandal,Molly Brown,15,14,"10/16/2014, 13:30",Pool D,Final
Nemesis,Tabby Rosa,15,12,"10/16/2014, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Scandal,Fury,12,10,"10/19/2014, 13:30",1st Place,Final
Brute Squad,Scandal,7,15,"10/18/2014, 14:30",Semifinals,Final
Riot,Fury,10,12,"10/18/2014, 15:30",Semifinals,Final
Brute Squad,Showdown,16,14,"10/17/2014, 13:30",Quarterfinals,Final
Scandal,Traffic,15,12,"10/17/2014, 13:30",Quarterfinals,Final
Riot,Ozone,15,9,"10/17/2014, 13:30",Quarterfinals,Final
Fury,Molly Brown,15,11,"10/17/2014, 13:30",Quarterfinals,Final
Brute Squad,Tabby Rosa,15,4,"10/17/2014, 09:00",Pre-Quarters,Final
Heist,Showdown,10,15,"10/17/2014, 09:00",Pre-Quarters,Final
Scandal,Capitals,15,7,"10/17/2014, 09:00",Pre-Quarters,Final
Traffic,Nightlock,14,10,"10/17/2014, 09:00",Pre-Quarters,Final
Riot,Underground,15,4,"10/17/2014, 09:00",Pre-Quarters,Final
Ozone,Nemesis,15,10,"10/17/2014, 09:00",Pre-Quarters,Final
Fury,Green Means Go,15,7,"10/17/2014, 09:00",Pre-Quarters,Final
Molly Brown,Schwa,12,10,"10/17/2014, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,Pro Flight / 5th Place Bracket
Showdown,Ozone,11,15,"10/18/2014, 11:15",5th Place,Final
Molly Brown,Showdown,8,15,"10/17/2014, 15:45",5th Semifinals,Final
Ozone,Traffic,15,12,"10/17/2014, 15:45",5th Semifinals,Final
bracket,Pro Flight Play-In / 7th Place Bracket (A)
Molly Brown,Nightlock,8,13,"10/18/2014, 10:00",Pro Fligh Play-In / 7th Place,Final
Nightlock,Heist,15,9,"10/17/2014, 15:45",9th Semis,Final
Nightlock,Tabby Rosa,15,7,"10/17/2014, 11:15",9th Quarters,Final
Heist,Capitals,14,12,"10/17/2014, 11:15",9th Quarters,Final
bracket,Pro Flight Play-In / 7th Place Bracket (B)
Schwa,Traffic,6,15,"10/18/2014, 10:00",Pro Flight Play-In / 7th Place,Final
Schwa,Underground,12,11,"10/17/2014, 15:45",9th Semis,Final
Schwa,Green Means Go,15,8,"10/17/2014, 11:15",9th Quarters,Final
Underground,Nemesis,15,12,"10/17/2014, 11:15",9th Quarters,Final
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
Heist,Underground,12,10,"10/18/2014, 09:00",11th Place,Final
bracket,13th Place
Capitals,Nemesis,9,13,"10/18/2014, 09:00",13th Place,Final
Tabby Rosa,Capitals,7,15,"10/17/2014, 15:45",13th Semifinals,Final
Green Means Go,Nemesis,12,15,"10/17/2014, 15:45",13th Semifinals,Final
bracket,15th Place
Tabby Rosa,Green Means Go,8,10,"10/18/2014, 09:00",15th Place,Final
b,r,e,a,k
