"First Ever, Possibly Last Ever, Timmy Meyer's Bachelor Tourn. ",open club,12,7,2008
Cleveland ,OH,2008-07-12,2008-07-12
https://scorereport.net/2008/open/event4782
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Best Men Bracket
bracket,Maid of Honor Bracket
b,r,e,a,k
