so cal worm up,open club,12,9,2010
Burbank,Ca.,2010-09-12,2010-09-12
https://scorereport.net/2010/open/event7918
oyu
b,r,e,a,k
""
b,r,e,a,k
1@
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,A
oyu,,13,10,"09/12/2010, 15:00",A,final
,1@,13,9,"09/12/2010, 15:00",A,final
oyu,,15,11,"09/12/2010, 17:00",A,final
b,r,e,a,k
