Hot Metal Scrimmage,womens club,2,9,2012
Youngstown/Somerset,OH/PA,2012-09-02,2012-09-02
https://scorereport.net/2012/womens/event11684
Hot Metal
b,r,e,a,k
Green Means Go
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Saturday-- HM vs Disc-OH
bracket,Sunday-- HM vs GMG
Hot Metal,Green Means Go,13,8,"09/02/2012, 12:00",Sunday-- HM vs GMG,final
b,r,e,a,k
