Northeast Matchup,womens club,19,8,2012
Lexington,MA,2012-08-19,2012-08-19
https://scorereport.net/2012/womens/event11600
Brute Squad
b,r,e,a,k
Vice
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Brute Squad,Vice,13,3,"08/19/2012, 09:00",Bracket,final
b,r,e,a,k
