2012 USA Ultimate Florida Club Women's Sectionals,womens club,8,9,2012
St Petersburg,Florida,2012-09-08,2012-09-08
https://scorereport.net/2012/womens/event11393
Tabby Rosa
b,r,e,a,k
Sol
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Tabby Rosa,Sol,15,12,"09/08/2012, 09:00",Bracket,final
b,r,e,a,k
