2012 USA Ultimate East Coast Club Women's Sectionals,womens club,8,9,2012
East Point,GA,2012-09-08,2012-09-08
https://scorereport.net/2012/womens/event11387
Ozone
b,r,e,a,k
Alloy
b,r,e,a,k
DeSoto
b,r,e,a,k
Golden Girls
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ozone,Alloy,15,0,"09/08/2012, 09:00",Pool A,final
DeSoto,Golden Girls,15,1,"09/08/2012, 09:00",Pool A,final
Ozone,Golden Girls,15,0,"09/08/2012, 11:00",Pool A,final
DeSoto,Alloy,15,1,"09/08/2012, 11:00",Pool A,final
Ozone,DeSoto,15,5,"09/08/2012, 13:00",Pool A,final
Alloy,Golden Girls,6,10,"09/08/2012, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
