Crosstown Showdown,college-open,14,3,2012
Cincinnati,Ohio,2012-03-14,2012-03-14
https://scorereport.net/2012/college-open/event10795
Cincinnati
b,r,e,a,k
Xavier
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Cincinnati,Xavier,15,6,"03/14/2012, 09:00",Bracket,final
b,r,e,a,k
