2012 USAU Southern Appalachian D-3 College Open CC,college-open,21,4,2012
Milledgeville,GA,2012-04-21,2012-04-22
https://scorereport.net/2012/college-open/event10674
Southern Polytech State
b,r,e,a,k
Armstrong Atlantic
b,r,e,a,k
Georgia College
b,r,e,a,k
Florida Tech
b,r,e,a,k
Samford
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Southern Polytech State,Armstrong Atlantic,7,12,"04/21/2012, 09:00",Pool A,final
Georgia College,Florida Tech,13,3,"04/21/2012, 09:00",Pool A,final
Samford,Florida Tech,13,5,"04/21/2012, 10:50",Pool A,final
Georgia College,Southern Polytech State,13,3,"04/21/2012, 10:50",Pool A,final
Samford,Armstrong Atlantic,13,6,"04/21/2012, 12:40",Pool A,final
Florida Tech,Southern Polytech State,13,7,"04/21/2012, 12:40",Pool A,final
Samford,Southern Polytech State,13,4,"04/21/2012, 14:30",Pool A,final
Georgia College,Armstrong Atlantic,13,2,"04/21/2012, 14:30",Pool A,final
Samford,Georgia College,13,11,"04/21/2012, 16:20",Pool A,final
Florida Tech,Armstrong Atlantic,9,13,"04/21/2012, 16:20",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Georgia College,Armstrong Atlantic,15,2,"04/22/2012, 09:00",Championship,final
Georgia College,Samford,15,12,"04/22/2012, 11:00",Championship,final
bracket,3rd Place
Florida Tech,Southern Polytech State,14,8,"04/22/2012, 09:00",3rd Place,final
Armstrong Atlantic,Florida Tech,14,9,"04/22/2012, 11:00",3rd Place,final
b,r,e,a,k
