2012 USAU West Plains D-3 College Open CC,college-open,14,4,2012
Cedar Falls,IA,2012-04-14,2012-04-14
https://scorereport.net/2012/college-open/event10678
Grinnell
b,r,e,a,k
Luther-B
b,r,e,a,k
Drake
b,r,e,a,k
Loras
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,1st Place Bracket
Grinnell,Luther-B,15,12,"04/14/2012, 11:00",1st Place Bracket,final
Drake,Loras,15,8,"04/14/2012, 11:00",1st Place Bracket,final
Grinnell,Drake,15,9,"04/14/2012, 13:00",1st Place Bracket,final
bracket,2nd Place Bracket
Luther-B,Loras,15,7,"04/14/2012, 13:00",2nd Place Bracket,final
Luther-B,Drake,11,5,"04/14/2012, 15:00",2nd Place Bracket,final
b,r,e,a,k
