UNH Beezer Open,college-open,4,3,2012
Duham,NH,2012-03-04,2012-03-04
https://scorereport.net/2012/college-open/event10616
2012000A
b,r,e,a,k
2012000C
b,r,e,a,k
2012000B
b,r,e,a,k
2012000D
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
2012000A,2012000C,,,"03/04/2012, 09:00",Pool A,scheduled
2012000B,2012000D,,,"03/04/2012, 09:00",Pool A,scheduled
2012000A,2012000D,,,"03/04/2012, 10:30",Pool A,scheduled
2012000B,2012000C,,,"03/04/2012, 10:30",Pool A,scheduled
2012000A,2012000B,,,"03/04/2012, 12:00",Pool A,scheduled
2012000C,2012000D,,,"03/04/2012, 12:00",Pool A,scheduled
b,r,e,a,k
brackets,Bracket
bracket,Bracket
b,r,e,a,k
