2012 USAU Metro East D-1 College Open Regionals,college-open,28,4,2012
Saratoga Springs,NY,2012-04-28,2012-04-29
https://scorereport.net/2012/college-open/event10701
Connecticut
b,r,e,a,k
Rochester
b,r,e,a,k
Wesleyan
b,r,e,a,k
SUNY-Albany
b,r,e,a,k
SUNY-Buffalo
b,r,e,a,k
RIT
b,r,e,a,k
Rutgers
b,r,e,a,k
Hofstra
b,r,e,a,k
Cornell
b,r,e,a,k
Central Connecticut State
b,r,e,a,k
NYU
b,r,e,a,k
Hunter College
b,r,e,a,k
Princeton
b,r,e,a,k
Columbia
b,r,e,a,k
Yale
b,r,e,a,k
Cornell-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Connecticut,Rochester,W,L,"04/28/2012, 09:00",Pool A,final
Wesleyan,SUNY-Albany,15,6,"04/28/2012, 09:00",Pool A,final
Connecticut,SUNY-Albany,15,8,"04/28/2012, 11:00",Pool A,final
Wesleyan,Rochester,15,5,"04/28/2012, 11:00",Pool A,final
Connecticut,Wesleyan,15,11,"04/28/2012, 13:00",Pool A,final
Rochester,SUNY-Albany,14,10,"04/28/2012, 13:00",Pool A,final
pool,Pool B
SUNY-Buffalo,RIT,14,12,"04/28/2012, 09:00",Pool B,final
Rutgers,Hofstra,15,5,"04/28/2012, 09:00",Pool B,final
SUNY-Buffalo,Hofstra,15,11,"04/28/2012, 11:00",Pool B,final
Rutgers,RIT,15,7,"04/28/2012, 11:00",Pool B,final
SUNY-Buffalo,Rutgers,14,12,"04/28/2012, 13:00",Pool B,final
RIT,Hofstra,14,11,"04/28/2012, 13:00",Pool B,final
pool,Pool C
Cornell,Central Connecticut State,15,10,"04/28/2012, 09:00",Pool C,final
NYU,Hunter College,15,6,"04/28/2012, 09:00",Pool C,final
Cornell,Hunter College,15,0,"04/28/2012, 11:00",Pool C,final
NYU,Central Connecticut State,15,10,"04/28/2012, 11:00",Pool C,final
Cornell,NYU,15,7,"04/28/2012, 13:00",Pool C,final
Central Connecticut State,Hunter College,15,1,"04/28/2012, 13:00",Pool C,final
pool,Pool D
Princeton,Columbia,15,9,"04/28/2012, 09:00",Pool D,final
Yale,Cornell-B,15,7,"04/28/2012, 09:00",Pool D,final
Princeton,Cornell-B,15,2,"04/28/2012, 11:00",Pool D,final
Yale,Columbia,12,7,"04/28/2012, 11:00",Pool D,final
Princeton,Yale,15,10,"04/28/2012, 13:00",Pool D,final
Columbia,Cornell-B,13,5,"04/28/2012, 13:00",Pool D,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket - Game to Go
Rutgers,Central Connecticut State,12,11,"04/28/2012, 15:15",Championship Bracket - Game to Go,final
NYU,RIT,15,11,"04/28/2012, 15:15",Championship Bracket - Game to Go,final
Yale,Rochester,12,11,"04/28/2012, 15:15",Championship Bracket - Game to Go,final
Wesleyan,Columbia,15,8,"04/28/2012, 15:15",Championship Bracket - Game to Go,final
Connecticut,Rutgers,W,L,"04/29/2012, 11:00",Championship Bracket - Game to Go,final
Princeton,NYU,9,8,"04/29/2012, 11:00",Championship Bracket - Game to Go,final
Cornell,Yale,10,8,"04/29/2012, 11:00",Championship Bracket - Game to Go,final
Cornell,Wesleyan,12,9,"04/29/2012, 11:00",Championship Bracket - Game to Go,final
Wesleyan,SUNY-Buffalo,11,9,"04/29/2012, 11:00",Championship Bracket - Game to Go,final
Princeton,Connecticut,10,8,"04/29/2012, 13:00",Championship Bracket - Game to Go,final
Cornell,Princeton,11,9,"04/29/2012, 13:00",Championship Bracket - Game to Go,final
bracket,3rd Place Bracket
bracket,5th Place Bracket (tie)
Rutgers,Yale,13,8,"04/29/2012, 13:00",5th Place Bracket (tie),final
bracket,5th Place Bracket (tie)
SUNY-Buffalo,NYU,15,9,"04/29/2012, 13:00",5th Place Bracket (tie),final
bracket,9th Place Bracket
Central Connecticut State,Rochester,11,5,"04/29/2012, 11:00",9th Place Bracket,final
Columbia,RIT,15,5,"04/29/2012, 11:00",9th Place Bracket,final
Central Connecticut State,Columbia,12,11,"04/29/2012, 13:00",9th Place Bracket,final
bracket,11th Place Bracket
Rochester,RIT,11,4,"04/29/2012, 13:00",11th Place Bracket,final
bracket,13th Place Bracket
SUNY-Albany,Cornell-B,15,3,"04/29/2012, 11:00",13th Place Bracket,final
SUNY-Albany,Hofstra,15,8,"04/29/2012, 13:00",13th Place Bracket,final
bracket,15th Place Bracket
Cornell-B,Hunter College,W,F,"04/29/2012, 13:00",15th Place Bracket,final
b,r,e,a,k
