2012 USAU North New England Dev College Open CC,college-open,21,4,2012
Keene,NH,2012-04-21,2012-04-22
https://scorereport.net/2012/college-open/event10661
New Hampshire-B
b,r,e,a,k
Dartmouth-B
b,r,e,a,k
Colby-B
b,r,e,a,k
Middlebury-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
New Hampshire-B,Dartmouth-B,,,"04/21/2012, 09:00",Pool A,scheduled
Colby-B,Middlebury-B,,,"04/21/2012, 09:00",Pool A,scheduled
New Hampshire-B,Middlebury-B,,,"04/21/2012, 11:00",Pool A,scheduled
Colby-B,Dartmouth-B,,,"04/21/2012, 11:00",Pool A,scheduled
New Hampshire-B,Colby-B,,,"04/21/2012, 13:00",Pool A,scheduled
Dartmouth-B,Middlebury-B,,,"04/21/2012, 13:00",Pool A,scheduled
b,r,e,a,k
brackets,Bracket
bracket,Bracket
bracket,Bracket
b,r,e,a,k
