Central Valley Cup,mixed club,11,7,2004
Modesto,CA,2004-07-11,2004-07-11
https://scorereport.net/2004/mixed/event644
Modesto
b,r,e,a,k
Hot in da Sac
b,r,e,a,k
Mad Figs
b,r,e,a,k
Frizbee Nation
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Modesto,Hot in da Sac,3,13,"07/11/2004, 10:00",Pool A,final
Mad Figs,Frizbee Nation,6,13,"07/11/2004, 10:00",Pool A,final
Modesto,Frizbee Nation,6,13,"07/11/2004, 12:00",Pool A,final
Mad Figs,Hot in da Sac,8,13,"07/11/2004, 12:00",Pool A,final
Modesto,Mad Figs,0,1,"07/11/2004, 14:00",Pool A,final
Hot in da Sac,Frizbee Nation,13,11,"07/11/2004, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
