Colorado Women's Sectionals,college-womens,15,4,2007
Boulder,CO,2007-04-15,2007-04-15
https://scorereport.net/2007/college-womens/event3315
Colorado
b,r,e,a,k
Colorado State
b,r,e,a,k
Colorado Mines
b,r,e,a,k
Colorado College
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Colorado,Colorado State,13,6,"04/15/2007, 09:00",Pool A,final
Colorado Mines,Colorado College,2,13,"04/15/2007, 09:00",Pool A,final
Colorado,Colorado College,13,6,"04/15/2007, 10:45",Pool A,final
Colorado Mines,Colorado State,1,13,"04/15/2007, 10:45",Pool A,final
Colorado,Colorado Mines,13,0,"04/15/2007, 12:30",Pool A,final
Colorado State,Colorado College,13,6,"04/15/2007, 12:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
