Hendrix Ultimate Experience (Women's),college-womens,24,2,2007
Conway,AR,2007-02-24,2007-02-25
https://scorereport.net/2007/college-womens/event3388
Illinois-B
b,r,e,a,k
Hendrix
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Illinois-B,Hendrix,13,1,"02/24/2007, 10:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
