Rocky Mountain Women's Sectionals,womens club,17,9,2006
Broomfield,CO,2006-09-17,2006-09-17
https://scorereport.net/2006/womens/event2872
KALI - CU
b,r,e,a,k
Colorado Academy Women
b,r,e,a,k
Box Lunch
b,r,e,a,k
Onetimers
b,r,e,a,k
Rare Air
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
KALI - CU,Colorado Academy Women,8,2,"09/17/2006, 08:30",Pool A,final
Box Lunch,Onetimers,13,0,"09/17/2006, 08:30",Pool A,final
Rare Air,Onetimers,13,0,"09/17/2006, 10:00",Pool A,final
Box Lunch,KALI - CU,13,1,"09/17/2006, 10:00",Pool A,final
Rare Air,Colorado Academy Women,13,0,"09/17/2006, 11:30",Pool A,final
Onetimers,KALI - CU,4,12,"09/17/2006, 11:30",Pool A,final
Rare Air,KALI - CU,13,1,"09/17/2006, 13:00",Pool A,final
Box Lunch,Colorado Academy Women,13,0,"09/17/2006, 13:00",Pool A,final
Rare Air,Box Lunch,7,5,"09/17/2006, 14:30",Pool A,final
Onetimers,Colorado Academy Women,3,7,"09/17/2006, 14:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
