Desert Women's Sectionals,womens club,16,9,2006
Tucson,AZ,2006-09-16,2006-09-16
https://scorereport.net/2006/womens/event2775
Scorch
b,r,e,a,k
Jines in the Pines
b,r,e,a,k
blAZe
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Scorch,Jines in the Pines,15,0,"09/16/2006, 09:00",Pool A,final
blAZe,Scorch,15,1,"09/16/2006, 10:30",Pool A,final
blAZe,Jines in the Pines,15,1,"09/16/2006, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
