Northern California Women's Sectionals,womens club,10,9,2006
Stanford,CA,2006-09-10,2006-09-10
https://scorereport.net/2006/womens/event2856
Fury
b,r,e,a,k
Homebrood
b,r,e,a,k
Skyline
b,r,e,a,k
Pie Queens
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Fury,Homebrood,12,10,"09/10/2006, 10:00",Pool A,final
Skyline,Pie Queens,15,0,"09/10/2006, 10:00",Pool A,final
Fury,Pie Queens,15,1,"09/10/2006, 11:30",Pool A,final
Skyline,Homebrood,10,9,"09/10/2006, 11:30",Pool A,final
Fury,Skyline,14,7,"09/10/2006, 13:00",Pool A,final
Homebrood,Pie Queens,15,2,"09/10/2006, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
