18th Annual GRUB - B division,mixed club,18,7,2009
Boulder,CO,2009-07-18,2009-07-19
https://scorereport.net/2009/mixed/event6337
Lawn Gnomes
b,r,e,a,k
What Frisbee Craves
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool E
Lawn Gnomes,What Frisbee Craves,0,1,"07/18/2009, 09:30",Pool E,final
Lawn Gnomes,What Frisbee Craves,0,1,"07/18/2009, 11:30",Pool E,final
Lawn Gnomes,What Frisbee Craves,0,1,"07/18/2009, 13:30",Pool E,final
b,r,e,a,k
brackets,Bracket
bracket,B Championship Bracket
bracket,Saturday 4th in Pool Crossover
bracket,Saturday 4th in Pool Crossover
bracket,B Consolation Bracket (9th Place)
bracket,5th Place (Tie)
bracket,5th Place (Tie)
bracket,13th Place (Tie)
bracket,13th Place (Tie)
bracket,Sat 1x1 cross over
bracket,Sat 1x1 cross over
b,r,e,a,k
