Arctic Vogue 31-College/HS women,college-womens,16,2,2013
Clarksville,OH,2013-02-16,2013-02-16
https://scorereport.net/2013/college-womens/event12268
Holy Family Catholic HS
b,r,e,a,k
Xavier
b,r,e,a,k
Purdue
b,r,e,a,k
Mount Notre Dame HS
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Holy Family Catholic HS,Xavier,7,12,"02/16/2013, 09:00",Pool A,final
Purdue,Mount Notre Dame HS,15,1,"02/16/2013, 09:00",Pool A,final
Holy Family Catholic HS,Mount Notre Dame HS,13,0,"02/16/2013, 11:00",Pool A,final
Purdue,Xavier,7,11,"02/16/2013, 11:00",Pool A,final
Holy Family Catholic HS,Purdue,7,12,"02/16/2013, 13:00",Pool A,final
Xavier,Mount Notre Dame HS,15,1,"02/16/2013, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
