2013 USAU North New England D-3 College Womens CC,college-womens,14,4,2013
Bowdoin,ME,2013-04-14,2013-04-14
https://scorereport.net/2013/college-womens/event12518
Bates
b,r,e,a,k
Colby
b,r,e,a,k
Bowdoin
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Bates,Colby,15,5,"04/14/2013, 00:00",Pool A,final
Bowdoin,Colby,15,4,"04/14/2013, 00:00",Pool A,final
Bowdoin,Bates,15,2,"04/14/2013, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
