Philthy in Philly 5 v 5 Indoor,college-womens,24,2,2013
Philadelphia,Pennsylv,2013-02-24,2013-02-24
https://scorereport.net/2013/college-womens/event12473
2013000A
b,r,e,a,k
2013000C
b,r,e,a,k
2013000B
b,r,e,a,k
2013000D
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
2013000A,2013000C,,,"02/24/2013, 10:30",Pool A,scheduled
2013000B,2013000D,,,"02/24/2013, 10:30",Pool A,scheduled
2013000A,2013000D,,,"02/24/2013, 11:30",Pool A,scheduled
2013000B,2013000C,,,"02/24/2013, 11:30",Pool A,scheduled
2013000A,2013000B,,,"02/24/2013, 12:30",Pool A,scheduled
2013000C,2013000D,,,"02/24/2013, 12:30",Pool A,scheduled
b,r,e,a,k
brackets,Bracket
bracket,Championship 1st/2nd
bracket,3rd/4th
b,r,e,a,k
