College Terminus,college-womens,23,3,2013
Atlanta,Ga,2013-03-23,2013-03-24
https://scorereport.net/2013/college-womens/event12091
Williams
b,r,e,a,k
Oberlin
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Williams,Oberlin,13,4,"03/24/2013, 12:20",Bracket,final
b,r,e,a,k
