Amherst Round Robin,college-open,2,4,2006
Amherst,MA,2006-04-02,2006-04-02
https://scorereport.net/2006/college-open/event2467
Massachusetts
b,r,e,a,k
Northeastern
b,r,e,a,k
Amherst
b,r,e,a,k
Amherst (ARHS)
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Massachusetts,Northeastern,10,13,"04/02/2006, 10:00",Pool A,final
Amherst,Amherst (ARHS),9,15,"04/02/2006, 10:00",Pool A,final
Massachusetts,Amherst (ARHS),13,12,"04/02/2006, 12:00",Pool A,final
Northeastern,Amherst,11,15,"04/02/2006, 12:00",Pool A,final
Massachusetts,Amherst,15,13,"04/02/2006, 14:00",Pool A,final
Northeastern,Amherst (ARHS),13,15,"04/02/2006, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
